"";"ID";"spec";"col";"tank";"tp";"treat";"conc";"necro_occured";"treatment";"necro_per"
"82";"Pve_B_14";"Pve";"B";"14";1;"10";10;"no";"C";0
"83";"Pve_B_14";"Pve";"B";"14";2;"10";10;"no";"C";0
"84";"Pve_B_14";"Pve";"B";"14";3;"10";10;"no";"C";0
"85";"Pve_B_15";"Pve";"B";"15";0;"100";100;"no";"D";0
"86";"Pve_B_15";"Pve";"B";"15";1;"100";100;"no";"D";0
"87";"Pve_B_15";"Pve";"B";"15";2;"100";100;"no";"D";0
"88";"Pve_B_15";"Pve";"B";"15";3;"100";100;"no";"D";0
"89";"Pve_B_2";"Pve";"B";"2";0;"0.1";0,1;"no";"A";0
"90";"Pve_B_2";"Pve";"B";"2";1;"0.1";0,1;"no";"A";0
"91";"Pve_B_2";"Pve";"B";"2";2;"0.1";0,1;"no";"A";0
"92";"Pve_B_2";"Pve";"B";"2";3;"0.1";0,1;"no";"A";0
"93";"Pve_B_3";"Pve";"B";"3";0;"1";1;"no";"B";0
"94";"Pve_B_3";"Pve";"B";"3";1;"1";1;"no";"B";0
"95";"Pve_B_3";"Pve";"B";"3";2;"1";1;"no";"B";0
"96";"Pve_B_3";"Pve";"B";"3";3;"1";1;"no";"B";0
"97";"Pve_B_4";"Pve";"B";"4";0;"10";10;"no";"C";0
"98";"Pve_B_4";"Pve";"B";"4";1;"10";10;"no";"C";0
"99";"Pve_B_4";"Pve";"B";"4";2;"10";10;"no";"C";0
"100";"Pve_B_4";"Pve";"B";"4";3;"10";10;"no";"C";0
"101";"Pve_B_5";"Pve";"B";"5";0;"100";100;"no";"D";0
"102";"Pve_B_5";"Pve";"B";"5";1;"100";100;"no";"D";0
"103";"Pve_B_5";"Pve";"B";"5";2;"100";100;"no";"D";0
"104";"Pve_B_5";"Pve";"B";"5";3;"100";100;"no";"D";0
"105";"Pve_B_6";"Pve";"B";"6";0;"control";0;"no";"control";0
"106";"Pve_B_6";"Pve";"B";"6";1;"control";0;"no";"control";0
"107";"Pve_B_6";"Pve";"B";"6";2;"control";0;"no";"control";0
"108";"Pve_B_6";"Pve";"B";"6";3;"control";0;"no";"control";0
"109";"Pve_B_7";"Pve";"B";"7";0;"0.1";0,1;"no";"A";0
"110";"Pve_B_7";"Pve";"B";"7";1;"0.1";0,1;"no";"A";0
"111";"Pve_B_7";"Pve";"B";"7";2;"0.1";0,1;"no";"A";0
"112";"Pve_B_7";"Pve";"B";"7";3;"0.1";0,1;"no";"A";0
"113";"Pve_B_8";"Pve";"B";"8";0;"1";1;"no";"B";0
"114";"Pve_B_8";"Pve";"B";"8";1;"1";1;"no";"B";0
"115";"Pve_B_8";"Pve";"B";"8";2;"1";1;"no";"B";0
"116";"Pve_B_8";"Pve";"B";"8";3;"1";1;"no";"B";0
"117";"Pve_B_9";"Pve";"B";"9";0;"10";10;"no";"C";0
"118";"Pve_B_9";"Pve";"B";"9";1;"10";10;"no";"C";0
"119";"Pve_B_9";"Pve";"B";"9";2;"10";10;"no";"C";0
"120";"Pve_B_9";"Pve";"B";"9";3;"10";10;"no";"C";0
"121";"Pve_C_1";"Pve";"C";"1";0;"control";0;"no";"control";0
"122";"Pve_C_1";"Pve";"C";"1";1;"control";0;"no";"control";0
"123";"Pve_C_1";"Pve";"C";"1";2;"control";0;"no";"control";0
"124";"Pve_C_1";"Pve";"C";"1";3;"control";0;"no";"control";0
"125";"Pve_C_10";"Pve";"C";"10";0;"100";100;"no";"D";0
"126";"Pve_C_10";"Pve";"C";"10";1;"100";100;"no";"D";0
"127";"Pve_C_10";"Pve";"C";"10";2;"100";100;"no";"D";0
"128";"Pve_C_10";"Pve";"C";"10";3;"100";100;"no";"D";0
"129";"Pve_C_11";"Pve";"C";"11";0;"control";0;"no";"control";0
"130";"Pve_C_11";"Pve";"C";"11";1;"control";0;"no";"control";0
"131";"Pve_C_11";"Pve";"C";"11";2;"control";0;"no";"control";0
"132";"Pve_C_11";"Pve";"C";"11";3;"control";0;"no";"control";0
"133";"Pve_C_12";"Pve";"C";"12";0;"0.1";0,1;"no";"A";0
"134";"Pve_C_12";"Pve";"C";"12";1;"0.1";0,1;"no";"A";0
"135";"Pve_C_12";"Pve";"C";"12";2;"0.1";0,1;"no";"A";0
"136";"Pve_C_12";"Pve";"C";"12";3;"0.1";0,1;"no";"A";0
"137";"Pve_C_13";"Pve";"C";"13";0;"1";1;"no";"B";0
"138";"Pve_C_13";"Pve";"C";"13";1;"1";1;"no";"B";0
"139";"Pve_C_13";"Pve";"C";"13";2;"1";1;"no";"B";0
"140";"Pve_C_13";"Pve";"C";"13";3;"1";1;"no";"B";0
"141";"Pve_C_14";"Pve";"C";"14";0;"10";10;"no";"C";0
"142";"Pve_C_14";"Pve";"C";"14";1;"10";10;"no";"C";0
"143";"Pve_C_14";"Pve";"C";"14";2;"10";10;"no";"C";0
"144";"Pve_C_14";"Pve";"C";"14";3;"10";10;"no";"C";0
"145";"Pve_C_15";"Pve";"C";"15";0;"100";100;"no";"D";0
"146";"Pve_C_15";"Pve";"C";"15";1;"100";100;"no";"D";0
"147";"Pve_C_15";"Pve";"C";"15";2;"100";100;"no";"D";0
"148";"Pve_C_15";"Pve";"C";"15";3;"100";100;"no";"D";0
"149";"Pve_C_2";"Pve";"C";"2";0;"0.1";0,1;"no";"A";0
"150";"Pve_C_2";"Pve";"C";"2";1;"0.1";0,1;"no";"A";0
"151";"Pve_C_2";"Pve";"C";"2";2;"0.1";0,1;"no";"A";0
"152";"Pve_C_2";"Pve";"C";"2";3;"0.1";0,1;"no";"A";0
"153";"Pve_C_3";"Pve";"C";"3";0;"1";1;"no";"B";0
"154";"Pve_C_3";"Pve";"C";"3";1;"1";1;"no";"B";0
"155";"Pve_C_3";"Pve";"C";"3";2;"1";1;"no";"B";0
"156";"Pve_C_3";"Pve";"C";"3";3;"1";1;"no";"B";0
"157";"Pve_C_4";"Pve";"C";"4";0;"10";10;"no";"C";0
"158";"Pve_C_4";"Pve";"C";"4";1;"10";10;"no";"C";0
"159";"Pve_C_4";"Pve";"C";"4";2;"10";10;"no";"C";0
"160";"Pve_C_4";"Pve";"C";"4";3;"10";10;"no";"C";0
"161";"Pve_C_5";"Pve";"C";"5";0;"100";100;"no";"D";0
"162";"Pve_C_5";"Pve";"C";"5";1;"100";100;"no";"D";0
"163";"Pve_C_5";"Pve";"C";"5";2;"100";100;"no";"D";0
"164";"Pve_C_5";"Pve";"C";"5";3;"100";100;"no";"D";0
"165";"Pve_C_6";"Pve";"C";"6";0;"control";0;"no";"control";0
"166";"Pve_C_6";"Pve";"C";"6";1;"control";0;"no";"control";0
"167";"Pve_C_6";"Pve";"C";"6";2;"control";0;"no";"control";0
"168";"Pve_C_6";"Pve";"C";"6";3;"control";0;"no";"control";0
"169";"Pve_C_7";"Pve";"C";"7";0;"0.1";0,1;"no";"A";0
"170";"Pve_C_7";"Pve";"C";"7";1;"0.1";0,1;"no";"A";0
"171";"Pve_C_7";"Pve";"C";"7";2;"0.1";0,1;"no";"A";0
"172";"Pve_C_7";"Pve";"C";"7";3;"0.1";0,1;"no";"A";0
"173";"Pve_C_8";"Pve";"C";"8";0;"1";1;"no";"B";0
"174";"Pve_C_8";"Pve";"C";"8";1;"1";1;"no";"B";0
"175";"Pve_C_8";"Pve";"C";"8";2;"1";1;"no";"B";0
"176";"Pve_C_8";"Pve";"C";"8";3;"1";1;"no";"B";0
"177";"Pve_C_9";"Pve";"C";"9";0;"10";10;"no";"C";0
