nr;# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
30;3831540415;30.05.2021;12:46:55;Pve_B_1;4;0;0;0.242;0.605;0.6;
31;3831540420;30.05.2021;12:47:00;Pve_B_1;4;0;0;0.247;0.696;0.645;
32;3831540424;30.05.2021;12:47:04;Pve_B_1;4;0;0;0.184;0.588;0.687;
34;3831540439;30.05.2021;12:47:19;Pve_C_1;4;0;0;0.139;0.406;0.658;
35;3831540444;30.05.2021;12:47:24;Pve_C_1;4;0;0;0.237;0.696;0.659;
36;3831540448;30.05.2021;12:47:28;Pve_C_1;4;0;0;0.194;0.502;0.614;
38;3831540463;30.05.2021;12:47:43;Pve_D_1;4;0;0;0.222;0.555;0.6;
39;3831540467;30.05.2021;12:47:47;Pve_D_1;4;0;0;0.234;0.554;0.578;
40;3831540471;30.05.2021;12:47:51;Pve_D_1;4;0;0;0.351;0.857;0.59;
42;3831540482;30.05.2021;12:48:02;Pve_E_1;4;0;0;0.209;0.518;0.597;
43;3831540492;30.05.2021;12:48:12;Pve_E_1;4;0;0;0.334;0.871;0.617;
44;3831540497;30.05.2021;12:48:17;Pve_E_1;4;0;0;0.289;0.721;0.599;
46;3831540506;30.05.2021;12:48:26;Pve_F_1;4;0;0;0.238;0.597;0.601;
47;3831540511;30.05.2021;12:48:31;Pve_F_1;4;0;0;0.196;0.516;0.62;
48;3831540518;30.05.2021;12:48:38;Pve_F_1;4;0;0;0.271;0.678;0.6;
51;3831629610;31.05.2021;13:33:30;Spi_A_10;4;0;0;0.296;0.759;0.61;
52;3831629615;31.05.2021;13:33:35;Spi_A_10;4;0;0;0.329;0.724;0.546;
53;3831629621;31.05.2021;13:33:41;Spi_A_10;4;0;0;0.394;0.992;0.603;
55;3831629634;31.05.2021;13:33:54;Spi_B_10;4;0;0;0.327;0.869;0.624;
56;3831629637;31.05.2021;13:33:57;Spi_B_10;4;0;0;0.278;0.675;0.588;
57;3831629643;31.05.2021;13:34:03;Spi_B_10;4;0;0;0.33;0.86;0.616;
59;3831629652;31.05.2021;13:34:12;Spi_C_10;4;0;0;0.326;0.696;0.532;
60;3831629657;31.05.2021;13:34:17;Spi_C_10;4;0;0;0.28;0.747;0.625;
61;3831629660;31.05.2021;13:34:20;Spi_C_10;4;0;0;0.366;0.915;0.6;
63;3831629670;31.05.2021;13:34:30;Spi_D_10;4;0;0;0.252;0.569;0.557;
64;3831629677;31.05.2021;13:34:37;Spi_D_10;4;0;0;0.219;0.456;0.52;
65;3831629682;31.05.2021;13:34:42;Spi_D_10;4;0;0;0.248;0.54;0.541;
67;3831629690;31.05.2021;13:34:50;Spi_E_10;4;0;0;0.4;0.831;0.519;
68;3831629697;31.05.2021;13:34:57;Spi_E_10;4;0;0;0.322;0.728;0.558;
69;3831629702;31.05.2021;13:35:02;Spi_E_10;4;0;0;0.351;0.843;0.584;
71;3831629711;31.05.2021;13:35:11;Spi_F_10;4;0;0;0.387;0.882;0.561;
72;3831629717;31.05.2021;13:35:17;Spi_F_10;4;0;0;0.257;0.623;0.587;
73;3831629723;31.05.2021;13:35:23;Spi_F_10;4;0;0;0.326;0.827;0.606;
75;3831629843;31.05.2021;13:37:23;Pve_A_10;4;0;0;0.376;1.024;0.633;
76;3831629854;31.05.2021;13:37:34;Pve_A_10;4;0;0;0.36;1.013;0.645;
77;3831629859;31.05.2021;13:37:39;Pve_A_10;4;0;0;0.336;0.96;0.65;
79;3831629870;31.05.2021;13:37:50;Pve_B_10;4;0;0;0.303;0.827;0.634;
80;3831629874;31.05.2021;13:37:54;Pve_B_10;4;0;0;0.326;0.97;0.664;
81;3831629879;31.05.2021;13:37:59;Pve_B_10;4;0;0;0.317;0.746;0.575;
83;3831629887;31.05.2021;13:38:07;Pve_C_10;4;0;0;0.366;1.082;0.662;
84;3831629893;31.05.2021;13:38:13;Pve_C_10;4;0;0;0.395;0.929;0.575;
85;3831629900;31.05.2021;13:38:20;Pve_C_10;4;0;0;0.265;0.773;0.657;
87;3831629909;31.05.2021;13:38:29;Pve_D_10;4;0;0;0.298;0.763;0.609;
88;3831629913;31.05.2021;13:38:33;Pve_D_10;4;0;0;0.418;1.091;0.617;
89;3831629918;31.05.2021;13:38:38;Pve_D_10;4;0;0;0.265;0.716;0.63;
91;3831629927;31.05.2021;13:38:47;Pve_E_10;4;0;0;0.245;0.644;0.62;
92;3831629932;31.05.2021;13:38:52;Pve_E_10;4;0;0;0.221;0.599;0.631;
93;3831629937;31.05.2021;13:38:57;Pve_E_10;4;0;0;0.118;0.295;0.6;
95;3831629946;31.05.2021;13:39:06;Pve_F_10;4;0;0;0.233;0.594;0.608;
96;3831629950;31.05.2021;13:39:10;Pve_F_10;4;0;0;0.164;0.396;0.586;
97;3831629954;31.05.2021;13:39:14;Pve_F_10;4;0;0;0.239;0.632;0.622;
100;3831712407;01.06.2021;12:33:27;Spi_A_11;4;0;0;0.368;0.95;0.613;
101;3831712413;01.06.2021;12:33:33;Spi_A_11;4;0;0;0.379;1.007;0.624;
102;3831712418;01.06.2021;12:33:38;Spi_A_11;4;0;0;0.312;0.7;0.554;
104;3831712435;01.06.2021;12:33:55;Spi_B_11;4;0;0;0.241;0.465;0.482;
105;3831712439;01.06.2021;12:33:59;Spi_B_11;4;0;0;0.243;0.613;0.604;
106;3831712445;01.06.2021;12:34:05;Spi_B_11;4;0;0;0.36;0.638;0.436;
108;3831712458;01.06.2021;12:34:18;Spi_C_11;4;0;0;0.332;1.027;0.677;
109;3831712462;01.06.2021;12:34:22;Spi_C_11;4;0;0;0.331;0.948;0.651;
110;3831712467;01.06.2021;12:34:27;Spi_C_11;4;0;0;0.337;0.929;0.637;
112;3831712478;01.06.2021;12:34:38;Spi_D_11;4;0;0;0.319;0.829;0.615;
113;3831712484;01.06.2021;12:34:44;Spi_D_11;4;0;0;0.17;0.429;0.604;
114;3831712491;01.06.2021;12:34:51;Spi_D_11;4;0;0;0.161;0.392;0.589;
116;3831712511;01.06.2021;12:35:11;Spi_E_11;4;0;0;0.261;0.665;0.608;
117;3831712517;01.06.2021;12:35:17;Spi_E_11;4;0;0;0.358;0.973;0.632;
118;3831712521;01.06.2021;12:35:21;Spi_E_11;4;0;0;0.203;0.556;0.635;
120;3831712556;01.06.2021;12:35:56;Spi_F_11;4;0;0;0.356;0.981;0.637;
121;3831712564;01.06.2021;12:36:04;Spi_F_11;4;0;0;0.286;0.743;0.615;
122;3831712570;01.06.2021;12:36:10;Spi_F_11;4;0;0;0.282;0.785;0.641;
124;3831712608;01.06.2021;12:36:48;Pve_A_11;4;0;0;0.27;0.77;0.649;
125;3831712612;01.06.2021;12:36:52;Pve_A_11;4;0;0;0.146;0.396;0.631;
126;3831712619;01.06.2021;12:36:59;Pve_A_11;4;0;0;0.291;0.648;0.551;
128;3831712627;01.06.2021;12:37:07;Pve_B_11;4;0;0;0.183;0.581;0.685;
129;3831712637;01.06.2021;12:37:17;Pve_B_11;4;0;0;0.219;0.641;0.658;
130;3831712641;01.06.2021;12:37:21;Pve_B_11;4;0;0;0.271;0.799;0.661;
132;3831712650;01.06.2021;12:37:30;Pve_C_11;4;0;0;0.305;0.886;0.656;
133;3831712654;01.06.2021;12:37:34;Pve_C_11;4;0;0;0.327;0.877;0.627;
134;3831712658;01.06.2021;12:37:38;Pve_C_11;4;0;0;0.368;0.901;0.592;
136;3831712667;01.06.2021;12:37:47;Pve_D_11;4;0;0;0.336;0.808;0.584;
137;3831712671;01.06.2021;12:37:51;Pve_D_11;4;0;0;0.259;0.569;0.545;
138;3831712675;01.06.2021;12:37:55;Pve_D_11;4;0;0;0.284;0.689;0.588;
140;3831712687;01.06.2021;12:38:07;Pve_E_11;4;0;0;0.316;0.712;0.556;
141;3831712695;01.06.2021;12:38:15;Pve_E_11;4;0;0;0.246;0.6;0.59;
142;3831712699;01.06.2021;12:38:19;Pve_E_11;4;0;0;0.237;0.495;0.521;
144;3831712713;01.06.2021;12:38:33;Pve_F_11;4;0;0;0.289;0.719;0.598;
145;3831712716;01.06.2021;12:38:36;Pve_F_11;4;0;0;0.335;0.83;0.596;
146;3831712720;01.06.2021;12:38:40;Pve_F_11;4;0;0;0.425;0.95;0.553;
149;3831712797;01.06.2021;12:39:57;Spi_A_12;4;0;0;0.402;1.041;0.614;
150;3831712802;01.06.2021;12:40:02;Spi_A_12;4;0;0;0.262;0.686;0.618;
151;3831712806;01.06.2021;12:40:06;Spi_A_12;4;0;0;0.254;0.601;0.577;
153;3831712816;01.06.2021;12:40:16;Spi_B_12;4;0;0;0.376;1.131;0.668;
154;3831712820;01.06.2021;12:40:20;Spi_B_12;4;0;0;0.381;1.086;0.649;
155;3831712824;01.06.2021;12:40:24;Spi_B_12;4;0;0;0.235;0.726;0.676;
157;3831712832;01.06.2021;12:40:32;Spi_C_12;4;0;0;0.322;0.984;0.673;
158;3831712836;01.06.2021;12:40:36;Spi_C_12;4;0;0;0.269;0.735;0.634;
159;3831712840;01.06.2021;12:40:40;Spi_C_12;4;0;0;0.289;0.684;0.577;
161;3831712850;01.06.2021;12:40:50;Spi_D_12;4;0;0;0.278;0.682;0.592;
162;3831712853;01.06.2021;12:40:53;Spi_D_12;4;0;0;0.274;0.686;0.601;
163;3831712859;01.06.2021;12:40:59;Spi_D_12;4;0;0;0.312;0.743;0.58;
165;3831712869;01.06.2021;12:41:09;Spi_E_12;4;0;0;0.29;0.795;0.635;
166;3831712872;01.06.2021;12:41:12;Spi_E_12;4;0;0;0.285;0.657;0.566;
167;3831712879;01.06.2021;12:41:19;Spi_E_12;4;0;0;0.31;0.799;0.612;
169;3831712895;01.06.2021;12:41:35;Spi_F_12;4;0;0;0.22;0.731;0.699;
170;3831712898;01.06.2021;12:41:38;Spi_F_12;4;0;0;0.282;0.736;0.617;
171;3831712903;01.06.2021;12:41:43;Spi_F_12;4;0;0;0.236;0.533;0.557;
173;3831712941;01.06.2021;12:42:21;Pve_A_12;4;0;0;0.259;0.761;0.66;
174;3831712945;01.06.2021;12:42:25;Pve_A_12;4;0;0;0.274;0.858;0.681;
175;3831712948;01.06.2021;12:42:28;Pve_A_12;4;0;0;0.251;0.784;0.68;
177;3831712959;01.06.2021;12:42:39;Pve_B_12;4;0;0;0.267;0.815;0.672;
178;3831712963;01.06.2021;12:42:43;Pve_B_12;4;0;0;0.284;0.864;0.671;
179;3831712971;01.06.2021;12:42:51;Pve_B_12;4;0;0;0.313;0.889;0.648;
181;3831712980;01.06.2021;12:43:00;Pve_C_12;4;0;0;0.27;0.767;0.648;
182;3831712992;01.06.2021;12:43:12;Pve_C_12;4;0;0;0.373;1.115;0.665;
183;3831712998;01.06.2021;12:43:18;Pve_C_12;4;0;0;0.367;0.899;0.592;
185;3831713008;01.06.2021;12:43:28;Pve_D_12;4;0;0;0.232;0.647;0.641;
186;3831713014;01.06.2021;12:43:34;Pve_D_12;4;0;0;0.227;0.622;0.635;
187;3831713020;01.06.2021;12:43:40;Pve_D_12;4;0;0;0.279;0.667;0.582;
189;3831713032;01.06.2021;12:43:52;Pve_E_12;4;0;0;0.314;0.805;0.61;
190;3831713037;01.06.2021;12:43:57;Pve_E_12;4;0;0;0.228;0.563;0.595;
191;3831713043;01.06.2021;12:44:03;Pve_E_12;4;0;0;0.254;0.643;0.605;
193;3831713054;01.06.2021;12:44:14;Pve_F_12;4;0;0;0.193;0.513;0.624;
194;3831713057;01.06.2021;12:44:17;Pve_F_12;4;0;0;0.259;0.694;0.627;
195;3831713063;01.06.2021;12:44:23;Pve_F_12;4;0;0;0.236;0.654;0.639;
198;3831713124;01.06.2021;12:45:24;Spi_A_13;4;0;0;0.296;0.69;0.571;
199;3831713127;01.06.2021;12:45:27;Spi_A_13;4;0;0;0.232;0.598;0.612;
200;3831713134;01.06.2021;12:45:34;Spi_A_13;4;0;0;0.275;0.626;0.561;
202;3831713145;01.06.2021;12:45:45;Spi_B_13;4;0;0;0.224;0.599;0.626;
203;3831713149;01.06.2021;12:45:49;Spi_B_13;4;0;0;0.354;1.055;0.664;
204;3831713153;01.06.2021;12:45:53;Spi_B_13;4;0;0;0.279;0.706;0.605;
206;3831713198;01.06.2021;12:46:38;Spi_C_13;4;0;0;0.312;0.84;0.629;
207;3831713210;01.06.2021;12:46:50;Spi_C_13;4;0;0;0.279;0.719;0.612;
208;3831713223;01.06.2021;12:47:03;Spi_C_13;4;0;0;0.238;0.708;0.664;
210;3831713238;01.06.2021;12:47:18;Spi_D_13;4;0;0;0.235;0.554;0.576;
211;3831713245;01.06.2021;12:47:25;Spi_D_13;4;0;0;0.278;0.687;0.595;
212;3831713248;01.06.2021;12:47:28;Spi_D_13;4;0;0;0.248;0.568;0.563;
214;3831713259;01.06.2021;12:47:39;Spi_E_13;4;0;0;0.376;0.942;0.601;
215;3831713268;01.06.2021;12:47:48;Spi_E_13;4;0;0;0.178;0.485;0.633;
216;3831713272;01.06.2021;12:47:52;Spi_E_13;4;0;0;0.316;0.788;0.599;
218;3831713287;01.06.2021;12:48:07;Spi_F_13;4;0;0;0.267;0.676;0.605;
219;3831713291;01.06.2021;12:48:11;Spi_F_13;4;0;0;0.278;0.721;0.614;
220;3831713296;01.06.2021;12:48:16;Spi_F_13;4;0;0;0.288;0.672;0.571;
222;3831713314;01.06.2021;12:48:34;Pve_A_13;4;0;0;0.276;0.866;0.681;
223;3831713319;01.06.2021;12:48:39;Pve_A_13;4;0;0;0.317;0.949;0.666;
224;3831713322;01.06.2021;12:48:42;Pve_A_13;4;0;0;0.292;0.791;0.631;
226;3831713333;01.06.2021;12:48:53;Pve_B_13;4;0;0;0.217;0.618;0.649;
227;3831713337;01.06.2021;12:48:57;Pve_B_13;4;0;0;0.324;0.893;0.637;
228;3831713341;01.06.2021;12:49:01;Pve_B_13;4;0;0;0.372;1.007;0.631;
230;3831713351;01.06.2021;12:49:11;Pve_C_13;4;0;0;0.261;0.837;0.688;
231;3831713356;01.06.2021;12:49:16;Pve_C_13;4;0;0;0.309;0.966;0.68;
232;3831713360;01.06.2021;12:49:20;Pve_C_13;4;0;0;0.309;0.939;0.671;
234;3831713372;01.06.2021;12:49:32;Pve_D_13;4;0;0;0.264;0.664;0.602;
235;3831713377;01.06.2021;12:49:37;Pve_D_13;4;0;0;0.184;0.438;0.58;
236;3831713381;01.06.2021;12:49:41;Pve_D_13;4;0;0;0.228;0.572;0.601;
238;3831713392;01.06.2021;12:49:52;Pve_E_13;4;0;0;0.307;0.893;0.656;
239;3831713397;01.06.2021;12:49:57;Pve_E_13;4;0;0;0.229;0.621;0.631;
240;3831713402;01.06.2021;12:50:02;Pve_E_13;4;0;0;0.195;0.556;0.649;
242;3831713411;01.06.2021;12:50:11;Pve_F_13;4;0;0;0.265;0.724;0.634;
243;3831713417;01.06.2021;12:50:17;Pve_F_13;4;0;0;0.181;0.482;0.624;
244;3831713423;01.06.2021;12:50:23;Pve_F_13;4;0;0;0.139;0.326;0.574;
247;3831713489;01.06.2021;12:51:29;Spi_A_14;4;0;0;0.406;0.764;0.469;
248;3831713494;01.06.2021;12:51:34;Spi_A_14;4;0;0;0.392;0.944;0.585;
249;3831713505;01.06.2021;12:51:45;Spi_A_14;4;0;0;0.311;0.719;0.567;
251;3831713514;01.06.2021;12:51:54;Spi_B_14;4;0;0;0.351;0.926;0.621;
252;3831713517;01.06.2021;12:51:57;Spi_B_14;4;0;0;0.384;0.905;0.576;
253;3831713526;01.06.2021;12:52:06;Spi_B_14;4;0;0;0.442;0.844;0.476;
255;3831713534;01.06.2021;12:52:14;Spi_C_14;4;0;0;0.416;1.071;0.612;
256;3831713539;01.06.2021;12:52:19;Spi_C_14;4;0;0;0.426;0.872;0.511;
257;3831713545;01.06.2021;12:52:25;Spi_C_14;4;0;0;0.275;0.765;0.641;
259;3831713557;01.06.2021;12:52:37;Spi_D_14;4;0;0;0.238;0.577;0.588;
260;3831713562;01.06.2021;12:52:42;Spi_D_14;4;0;0;0.226;0.535;0.578;
261;3831713566;01.06.2021;12:52:46;Spi_D_14;4;0;0;0.217;0.526;0.587;
263;3831713577;01.06.2021;12:52:57;Spi_E_14;4;0;0;0.348;0.885;0.607;
264;3831713584;01.06.2021;12:53:04;Spi_E_14;4;0;0;0.187;0.479;0.61;
265;3831713589;01.06.2021;12:53:09;Spi_E_14;4;0;0;0.439;0.894;0.509;
267;3831713603;01.06.2021;12:53:23;Spi_F_14;4;0;0;0.234;0.583;0.599;
268;3831713608;01.06.2021;12:53:28;Spi_F_14;4;0;0;0.371;0.926;0.599;
269;3831713615;01.06.2021;12:53:35;Spi_F_14;4;0;0;0.239;0.51;0.531;
271;3831713642;01.06.2021;12:54:02;Pve_A_14;4;0;0;0.292;0.764;0.618;
272;3831713646;01.06.2021;12:54:06;Pve_A_14;4;0;0;0.343;0.937;0.634;
273;3831713650;01.06.2021;12:54:10;Pve_A_14;4;0;0;0.28;0.815;0.656;
275;3831713663;01.06.2021;12:54:23;Pve_B_14;4;0;0;0.246;0.739;0.667;
276;3831713669;01.06.2021;12:54:29;Pve_B_14;4;0;0;0.289;0.764;0.622;
277;3831713674;01.06.2021;12:54:34;Pve_B_14;4;0;0;0.322;0.846;0.619;
279;3831713683;01.06.2021;12:54:43;Pve_C_14;4;0;0;0.333;0.863;0.614;
280;3831713687;01.06.2021;12:54:47;Pve_C_14;4;0;0;0.455;1.11;0.59;
281;3831713692;01.06.2021;12:54:52;Pve_C_14;4;0;0;0.442;0.97;0.544;
283;3831713701;01.06.2021;12:55:01;Pve_D_14;4;0;0;0.308;0.75;0.589;
284;3831713705;01.06.2021;12:55:05;Pve_D_14;4;0;0;0.371;0.973;0.619;
285;3831713708;01.06.2021;12:55:08;Pve_D_14;4;0;0;0.281;0.627;0.552;
287;3831713719;01.06.2021;12:55:19;Pve_E_14;4;0;0;0.313;0.853;0.633;
288;3831713723;01.06.2021;12:55:23;Pve_E_14;4;0;0;0.265;0.619;0.572;
289;3831713729;01.06.2021;12:55:29;Pve_E_14;4;0;0;0.284;0.564;0.496;
291;3831713740;01.06.2021;12:55:40;Pve_F_14;4;0;0;0.183;0.434;0.578;
292;3831713744;01.06.2021;12:55:44;Pve_F_14;4;0;0;0.23;0.537;0.572;
293;3831713754;01.06.2021;12:55:54;Pve_F_14;4;0;0;0.231;0.572;0.596;
296;3831713812;01.06.2021;12:56:52;Spi_A_15;4;0;0;0.349;0.88;0.603;
297;3831713821;01.06.2021;12:57:01;Spi_A_15;4;0;0;0.36;0.744;0.516;
298;3831713830;01.06.2021;12:57:10;Spi_A_15;4;0;0;0.439;0.926;0.526;
300;3831713841;01.06.2021;12:57:21;Spi_B_15;4;0;0;0.486;1.187;0.591;
301;3831713845;01.06.2021;12:57:25;Spi_B_15;4;0;0;0.327;0.724;0.548;
302;3831713852;01.06.2021;12:57:32;Spi_B_15;4;0;0;0.4;1.008;0.603;
304;3831713861;01.06.2021;12:57:41;Spi_C_15;4;0;0;0.302;0.851;0.645;
305;3831713865;01.06.2021;12:57:45;Spi_C_15;4;0;0;0.282;0.737;0.617;
306;3831713872;01.06.2021;12:57:52;Spi_C_15;4;0;0;0.44;0.848;0.481;
308;3831713889;01.06.2021;12:58:09;Spi_D_15;4;0;0;0.275;0.598;0.54;
309;3831713894;01.06.2021;12:58:14;Spi_D_15;4;0;0;0.267;0.63;0.576;
310;3831713899;01.06.2021;12:58:19;Spi_D_15;4;0;0;0.175;0.33;0.47;
312;3831713908;01.06.2021;12:58:28;Spi_E_15;4;0;0;0.395;0.758;0.479;
313;3831713916;01.06.2021;12:58:36;Spi_E_15;4;0;0;0.301;0.808;0.627;
314;3831713920;01.06.2021;12:58:40;Spi_E_15;4;0;0;0.366;0.908;0.597;
316;3831713934;01.06.2021;12:58:54;Spi_F_15;4;0;0;0.308;0.73;0.578;
317;3831713942;01.06.2021;12:59:02;Spi_F_15;4;0;0;0.244;0.569;0.571;
318;3831713947;01.06.2021;12:59:07;Spi_F_15;4;0;0;0.288;0.749;0.615;
320;3831713972;01.06.2021;12:59:32;Pve_A_15;4;0;0;0.455;0.901;0.495;
321;3831713976;01.06.2021;12:59:36;Pve_A_15;4;0;0;0.197;0.494;0.601;
322;3831713980;01.06.2021;12:59:40;Pve_A_15;4;0;0;0.275;0.749;0.633;
324;3831713992;01.06.2021;12:59:52;Pve_B_15;4;0;0;0.241;0.653;0.631;
325;3831713997;01.06.2021;12:59:57;Pve_B_15;4;0;0;0.195;0.528;0.631;
326;3831714002;01.06.2021;13:00:02;Pve_B_15;4;0;0;0.441;1.038;0.575;
328;3831714013;01.06.2021;13:00:13;Pve_C_15;4;0;0;0.34;0.759;0.552;
329;3831714017;01.06.2021;13:00:17;Pve_C_15;4;0;0;0.355;0.88;0.597;
330;3831714022;01.06.2021;13:00:22;Pve_C_15;4;0;0;0.279;0.708;0.606;
332;3831714033;01.06.2021;13:00:33;Pve_D_15;4;0;0;0.4;0.956;0.582;
333;3831714037;01.06.2021;13:00:37;Pve_D_15;4;0;0;0.274;0.612;0.552;
334;3831714042;01.06.2021;13:00:42;Pve_D_15;4;0;0;0.281;0.61;0.539;
336;3831714052;01.06.2021;13:00:52;Pve_E_15;4;0;0;0.312;0.799;0.61;
337;3831714057;01.06.2021;13:00:57;Pve_E_15;4;0;0;0.302;0.738;0.591;
338;3831714061;01.06.2021;13:01:01;Pve_E_15;4;0;0;0.294;0.669;0.561;
340;3831714073;01.06.2021;13:01:13;Pve_F_15;4;0;0;0.224;0.555;0.596;
341;3831714078;01.06.2021;13:01:18;Pve_F_15;4;0;0;0.179;0.374;0.521;
342;3831714082;01.06.2021;13:01:22;Pve_F_15;4;0;0;0.205;0.441;0.535;
345;3831540667;30.05.2021;12:51:07;Spi_A_2;4;0;0;0.315;0.776;0.594;
346;3831540674;30.05.2021;12:51:14;Spi_A_2;4;0;0;0.302;0.728;0.585;
347;3831540682;30.05.2021;12:51:22;Spi_A_2;4;0;0;0.177;0.387;0.543;
349;3831540697;30.05.2021;12:51:37;Spi_B_2;4;0;0;0.343;1.06;0.676;
350;3831540701;30.05.2021;12:51:41;Spi_B_2;4;0;0;0.313;0.894;0.65;
351;3831540706;30.05.2021;12:51:46;Spi_B_2;4;0;0;0.323;0.894;0.639;
353;3831540715;30.05.2021;12:51:55;Spi_C_2;4;0;0;0.281;0.77;0.635;
354;3831540720;30.05.2021;12:52:00;Spi_C_2;4;0;0;0.251;0.719;0.651;
355;3831540724;30.05.2021;12:52:04;Spi_C_2;4;0;0;0.298;0.822;0.637;
357;3831540742;30.05.2021;12:52:22;Spi_D_2;4;0;0;0.195;0.451;0.568;
358;3831540748;30.05.2021;12:52:28;Spi_D_2;4;0;0;0.224;0.515;0.565;
359;3831540752;30.05.2021;12:52:32;Spi_D_2;4;0;0;0.18;0.293;0.386;
361;3831540765;30.05.2021;12:52:45;Spi_E_2;4;0;0;0.278;0.712;0.61;
362;3831540769;30.05.2021;12:52:49;Spi_E_2;4;0;0;0.259;0.622;0.584;
363;3831540776;30.05.2021;12:52:56;Spi_E_2;4;0;0;0.273;0.526;0.481;
365;3831540792;30.05.2021;12:53:12;Spi_F_2;4;0;0;0.267;0.674;0.604;
366;3831540797;30.05.2021;12:53:17;Spi_F_2;4;0;0;0.406;0.825;0.508;
367;3831540805;30.05.2021;12:53:25;Spi_F_2;4;0;0;0.15;0.349;0.57;
369;3831540827;30.05.2021;12:53:47;Pve_A_2;4;0;0;0.335;0.908;0.631;
370;3831540832;30.05.2021;12:53:52;Pve_A_2;4;0;0;0.276;0.758;0.636;
371;3831540837;30.05.2021;12:53:57;Pve_A_2;4;0;0;0.422;1.007;0.581;
373;3831540852;30.05.2021;12:54:12;Pve_B_2;4;0;0;0.28;0.946;0.704;
374;3831540856;30.05.2021;12:54:16;Pve_B_2;4;0;0;0.262;0.823;0.682;
375;3831540861;30.05.2021;12:54:21;Pve_B_2;4;0;0;0.309;0.727;0.575;
377;3831540876;30.05.2021;12:54:36;Pve_C_2;4;0;0;0.297;0.863;0.656;
378;3831540882;30.05.2021;12:54:42;Pve_C_2;4;0;0;0.273;0.829;0.671;
379;3831540886;30.05.2021;12:54:46;Pve_C_2;4;0;0;0.459;1.088;0.578;
381;3831540913;30.05.2021;12:55:13;Pve_D_2;4;0;0;0.41;0.85;0.518;
382;3831540917;30.05.2021;12:55:17;Pve_D_2;4;0;0;0.313;0.76;0.588;
383;3831540921;30.05.2021;12:55:21;Pve_D_2;4;0;0;0.274;0.692;0.604;
385;3831540934;30.05.2021;12:55:34;Pve_E_2;4;0;0;0.271;0.677;0.6;
386;3831540940;30.05.2021;12:55:40;Pve_E_2;4;0;0;0.251;0.64;0.608;
387;3831540950;30.05.2021;12:55:50;Pve_E_2;4;0;0;0.353;0.921;0.617;
389;3831540965;30.05.2021;12:56:05;Pve_F_2;4;0;0;0.243;0.617;0.606;
390;3831540969;30.05.2021;12:56:09;Pve_F_2;4;0;0;0.19;0.525;0.638;
391;3831540982;30.05.2021;12:56:22;Pve_F_2;4;0;0;0.285;0.702;0.594;
394;3831541079;30.05.2021;12:57:59;Spi_A_3;4;0;0;0.21;0.496;0.577;
395;3831541083;30.05.2021;12:58:03;Spi_A_3;4;0;0;0.316;0.788;0.599;
396;3831541098;30.05.2021;12:58:18;Spi_A_3;4;0;0;0.286;0.697;0.59;
398;3831541108;30.05.2021;12:58:28;Spi_B_3;4;0;0;0.356;0.876;0.594;
399;3831541114;30.05.2021;12:58:34;Spi_B_3;4;0;0;0.307;0.861;0.643;
400;3831541127;30.05.2021;12:58:47;Spi_B_3;4;0;0;0.279;0.741;0.623;
402;3831541139;30.05.2021;12:58:59;Spi_C_3;4;0;0;0.228;0.618;0.631;
403;3831541143;30.05.2021;12:59:03;Spi_C_3;4;0;0;0.293;0.826;0.645;
