nr;# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
2;3831540183;30.05.2021;12:43:03;Spi_A_1;4;0;0;0.351;0.865;0.594;
3;3831540193;30.05.2021;12:43:13;Spi_A_1;4;0;0;0.27;0.636;0.575;
4;3831540206;30.05.2021;12:43:26;Spi_A_1;4;0;0;0.261;0.645;0.595;
6;3831540264;30.05.2021;12:44:24;Spi_B_1;4;0;0;0.244;0.709;0.656;
7;3831540268;30.05.2021;12:44:28;Spi_B_1;4;0;0;0.278;0.85;0.673;
8;3831540274;30.05.2021;12:44:34;Spi_B_1;4;0;0;0.305;0.817;0.627;
10;3831540286;30.05.2021;12:44:46;Spi_C_1;4;0;0;0.222;0.602;0.631;
11;3831540290;30.05.2021;12:44:50;Spi_C_1;4;0;0;0.288;0.725;0.603;
12;3831540296;30.05.2021;12:44:56;Spi_C_1;4;0;0;0.23;0.631;0.635;
14;3831540306;30.05.2021;12:45:06;Spi_D_1;4;0;0;0.312;0.785;0.603;
15;3831540311;30.05.2021;12:45:11;Spi_D_1;4;0;0;0.239;0.576;0.585;
16;3831540316;30.05.2021;12:45:16;Spi_D_1;4;0;0;0.375;0.943;0.602;
18;3831540329;30.05.2021;12:45:29;Spi_E_1;4;0;0;0.292;0.807;0.638;
19;3831540334;30.05.2021;12:45:34;Spi_E_1;4;0;0;0.337;0.912;0.63;
20;3831540339;30.05.2021;12:45:39;Spi_E_1;4;0;0;0.29;0.748;0.612;
22;3831540353;30.05.2021;12:45:53;Spi_F_1;4;0;0;0.337;0.872;0.614;
23;3831540357;30.05.2021;12:45:57;Spi_F_1;4;0;0;0.329;0.88;0.626;
24;3831540362;30.05.2021;12:46:02;Spi_F_1;4;0;0;0.223;0.581;0.616;
26;3831540389;30.05.2021;12:46:29;Pve_A_1;4;0;0;0.432;1.045;0.587;
27;3831540400;30.05.2021;12:46:40;Pve_A_1;4;0;0;0.272;0.801;0.66;
28;3831540405;30.05.2021;12:46:45;Pve_A_1;4;0;0;0.382;1.12;0.659;
