# Filename;t;Date;Time;No.;ML;Temp.;PAR;F;Fo';Fm';~Fo';Y(II);ETR
Spi_A_10_t2.CSV;2;29.06.2021;12:37:40;1;4;0;0;0.405;0;0.984;0.405;0.588;0
Spi_A_10_t2.CSV;12;29.06.2021;12:37:50;2;4;0;31;0.396;0;0.977;0.404;0.595;7.7
Spi_A_10_t2.CSV;22;29.06.2021;12:38:00;3;4;0;101;0.452;0;0.982;0.405;0.54;22.9
Spi_A_10_t2.CSV;32;29.06.2021;12:38:10;4;4;0;198;0.52;0;0.972;0.403;0.465;38.7
Spi_A_10_t2.CSV;42;29.06.2021;12:38:20;5;4;0;363;0.593;0;0.946;0.398;0.373;56.9
Spi_A_10_t2.CSV;52;29.06.2021;12:38:30;6;4;0;619;0.64;0;0.89;0.388;0.281;73
Spi_A_10_t2.CSV;62;29.06.2021;12:38:40;7;4;0;981;0.648;0;0.818;0.374;0.208;85.6
Spi_A_10_t2.CSV;72;29.06.2021;12:38:50;8;4;0;1386;0.628;0;0.746;0.358;0.158;92.1
Spi_A_10_t2.CSV;82;29.06.2021;12:39:00;9;4;0;2015;0.599;0;0.677;0.341;0.115;97.5
Spi_A_10_t2.CSV;92;29.06.2021;12:39:10;10;4;0;2970;0.566;0;0.612;0.324;0.075;93.8
Spi_A_11_t2.CSV;1;27.06.2021;15:16:48;1;4;0;0;0.319;0;0.757;0.319;0.579;0
Spi_A_11_t2.CSV;12;27.06.2021;15:16:59;2;4;0;31;0.325;0;0.757;0.319;0.571;7.4
Spi_A_11_t2.CSV;22;27.06.2021;15:17:09;3;4;0;101;0.376;0;0.767;0.321;0.51;21.6
Spi_A_11_t2.CSV;32;27.06.2021;15:17:19;4;4;0;198;0.435;0;0.765;0.32;0.431;35.9
Spi_A_11_t2.CSV;42;27.06.2021;15:17:29;5;4;0;363;0.505;0;0.752;0.318;0.328;50.1
Spi_A_11_t2.CSV;52;27.06.2021;15:17:39;6;4;0;619;0.557;0;0.727;0.314;0.234;60.8
Spi_A_11_t2.CSV;62;27.06.2021;15:17:49;7;4;0;981;0.574;0;0.685;0.305;0.162;66.8
