# Filename;t;Date;Time;No.;ML;Temp.;PAR;F;Fo';Fm';~Fo';Y(II);ETR
Pve_A_10_t1.CSV;2;31.05.2021;16:00:50;1;4;0;0;0.379;0;1.104;0.379;0.657;0
Pve_A_10_t1.CSV;12;31.05.2021;16:01:00;2;4;0;31;0.438;0;1.094;0.378;0.6;7.8
Pve_A_10_t1.CSV;22;31.05.2021;16:01:10;3;4;0;101;0.541;0;1.092;0.378;0.505;21.4
Pve_A_10_t1.CSV;32;31.05.2021;16:01:20;4;4;0;198;0.646;0;1.093;0.378;0.409;34
Pve_A_10_t1.CSV;42;31.05.2021;16:01:30;5;4;0;363;0.763;0;1.094;0.378;0.303;46.1
Pve_A_10_t1.CSV;52;31.05.2021;16:01:40;6;4;0;619;0.858;0;1.09;0.377;0.213;55.3
Pve_A_10_t1.CSV;62;31.05.2021;16:01:50;7;4;0;981;0.92;0;1.083;0.376;0.151;62
Pve_A_10_t1.CSV;72;31.05.2021;16:02:00;8;4;0;1386;0.952;0;1.07;0.375;0.11;64.2
Pve_A_10_t1.CSV;82;31.05.2021;16:02:10;9;4;0;2015;0.97;0;1.05;0.372;0.076;64.5
Pve_A_10_t1.CSV;92;31.05.2021;16:02:20;10;4;0;2970;0.975;0;1.026;0.369;0.05;62
Pve_A_11_t1.CSV;2;01.06.2021;13:27:59;1;4;0;0;0.303;0;0.896;0.303;0.662;0
Pve_A_11_t1.CSV;12;01.06.2021;13:28:09;2;4;0;31;0.319;0;0.888;0.302;0.641;8.3
Pve_A_11_t1.CSV;22;01.06.2021;13:28:19;3;4;0;101;0.376;0;0.889;0.302;0.577;24.5
Pve_A_11_t1.CSV;32;01.06.2021;13:28:29;4;4;0;198;0.441;0;0.887;0.302;0.503;41.8
Pve_A_11_t1.CSV;42;01.06.2021;13:28:39;5;4;0;363;0.531;0;0.888;0.302;0.402;61.3
Pve_A_11_t1.CSV;52;01.06.2021;13:28:49;6;4;0;619;0.622;0;0.883;0.301;0.296;76.8
Pve_A_11_t1.CSV;62;01.06.2021;13:28:59;7;4;0;981;0.691;0;0.878;0.301;0.213;87.8
Pve_A_11_t1.CSV;72;01.06.2021;13:29:09;8;4;0;1386;0.73;0;0.866;0.299;0.157;91.4
Pve_A_11_t1.CSV;82;01.06.2021;13:29:19;9;4;0;2015;0.756;0;0.845;0.297;0.105;89.1
Pve_A_11_t1.CSV;92;01.06.2021;13:29:29;10;4;0;2970;0.763;0;0.822;0.294;0.072;89.5
Pve_A_12_t1.CSV;2;01.06.2021;15:52:51;1;4;0;0;0.324;0;0.95;0.324;0.659;0
Pve_A_12_t1.CSV;12;01.06.2021;15:53:01;2;4;0;31;0.329;0;0.948;0.324;0.653;8.5
Pve_A_12_t1.CSV;22;01.06.2021;15:53:11;3;4;0;101;0.373;0;0.955;0.325;0.609;25.9
Pve_A_12_t1.CSV;32;01.06.2021;15:53:21;4;4;0;198;0.437;0;0.949;0.324;0.54;44.9
