# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
8253;21.04.2021;18:55:46;Spi_A_1;4;0;0;0.172;0;0.493;
8283;21.04.2021;18:56:16;Spi_B_1;4;0;0;0.182;0;0.532;
8306;21.04.2021;18:56:39;Spi_C_1;4;0;0;0.14;0;0.379;
8324;21.04.2021;18:56:57;Spi_D_1;4;0;0;0.217;0;0.682;
8359;21.04.2021;18:57:32;Spi_E_1;4;0;0;0.218;0;0.669;
8378;21.04.2021;18:57:51;Spi_F_1;4;0;0;0.176;0;0.493;
8401;21.04.2021;18:58:14;Pve_A_1;4;0;0;0.278;0;0.993;
8425;21.04.2021;18:58:38;Pve_B_1;4;0;0;0.142;0;0.534;
8446;21.04.2021;18:58:59;Pve_C_1;4;0;0;0.12;0;0.439;
8463;21.04.2021;18:59:16;Pve_D_1;4;0;0;0.226;0;0.674;
8484;21.04.2021;18:59:37;Pve_E_1;4;0;0;0.204;0;0.583;
8502;21.04.2021;18:59:55;Pve_F_1;4;0;0;0.193;0;0.518;
8535;21.04.2021;19:00:28;Spi_A_2;4;0;0;0.149;0;0.393;
8554;21.04.2021;19:00:47;Spi_B_2;4;0;0;0.197;0;0.65;
8570;21.04.2021;19:01:03;Spi_C_2;4;0;0;0.205;0;0.534;
8609;21.04.2021;19:01:42;Spi_D_2;4;0;0;0.254;0;0.592;
8631;21.04.2021;19:02:04;Spi_E_2;4;0;0;0.198;0;0.595;
8655;21.04.2021;19:02:28;Spi_F_2;4;0;0;0.207;0;0.538;
8675;21.04.2021;19:02:48;Pve_A_2;4;0;0;0.162;0;0.576;
8692;21.04.2021;19:03:05;Pve_B_2;4;0;0;0.198;0;0.773;
8718;21.04.2021;19:03:31;Pve_C_2;4;0;0;0.221;0;0.793;
8748;21.04.2021;19:04:01;Pve_D_2;4;0;0;0.212;0;0.656;
8769;21.04.2021;19:04:22;Pve_E_2;4;0;0;0.233;0;0.824;
8792;21.04.2021;19:04:45;Pve_F_2;4;0;0;0.167;0;0.483;
8813;21.04.2021;19:05:06;Spi_A_3;4;0;0;0.307;0;0.846;
8836;21.04.2021;19:05:29;Spi_B_3;4;0;0;0.233;0;0.707;
8855;21.04.2021;19:05:48;Spi_C_3;4;0;0;0.189;0;0.519;
8881;21.04.2021;19:06:14;Spi_D_3;4;0;0;0.166;0;0.433;
8904;21.04.2021;19:06:37;Spi_E_3;4;0;0;0.216;0;0.622;
8922;21.04.2021;19:06:55;Spi_F_3;4;0;0;0.198;0;0.605;
8945;21.04.2021;19:07:18;Pve_A_3;4;0;0;0.279;0;1.079;
8968;21.04.2021;19:07:41;Pve_B_3;4;0;0;0.11;0;0.373;
8984;21.04.2021;19:07:57;Pve_C_3;4;0;0;0.227;0;0.68;
9005;21.04.2021;19:08:18;Pve_D_3;4;0;0;0.214;0;0.666;
9032;21.04.2021;19:08:45;Pve_E_3;4;0;0;0.392;0;1.047;
