# Filename;t;Date;Time;No.;ML;Temp.;PAR;F;Fo';Fm';~Fo';Y(II);ETR
Spi_A_10_t1.CSV;2;31.05.2021;15:43:20;1;4;0;0;0.306;0;0.77;0.306;0.603;0
Spi_A_10_t1.CSV;12;31.05.2021;15:43:30;2;4;0;31;0.311;0;0.768;0.306;0.595;7.7
Spi_A_10_t1.CSV;22;31.05.2021;15:43:40;3;4;0;101;0.344;0;0.779;0.307;0.558;23.7
Spi_A_10_t1.CSV;32;31.05.2021;15:43:50;4;4;0;198;0.391;0;0.782;0.308;0.5;41.6
Spi_A_10_t1.CSV;43;31.05.2021;15:44:01;5;4;0;363;0.452;0;0.774;0.307;0.416;63.4
Spi_A_10_t1.CSV;52;31.05.2021;15:44:10;6;4;0;619;0.503;0;0.746;0.302;0.326;84.7
Spi_A_10_t1.CSV;62;31.05.2021;15:44:20;7;4;0;981;0.523;0;0.698;0.294;0.251;103.3
Spi_A_10_t1.CSV;73;31.05.2021;15:44:31;8;4;0;1386;0.517;0;0.646;0.284;0.2;116.2
Spi_A_10_t1.CSV;83;31.05.2021;15:44:41;9;4;0;2015;0.503;0;0.587;0.272;0.143;121.1
Spi_A_10_t1.CSV;93;31.05.2021;15:44:51;10;4;0;2970;0.483;0;0.533;0.26;0.094;117
Spi_A_11_t1.CSV;2;01.06.2021;13:09:42;1;4;0;0;0.347;0;0.855;0.347;0.594;0
Spi_A_11_t1.CSV;12;01.06.2021;13:09:52;2;4;0;31;0.355;0;0.845;0.345;0.58;7.6
Spi_A_11_t1.CSV;22;01.06.2021;13:10:02;3;4;0;101;0.411;0;0.835;0.344;0.508;21.5
Spi_A_11_t1.CSV;32;01.06.2021;13:10:12;4;4;0;198;0.468;0;0.828;0.342;0.435;36.2
Spi_A_11_t1.CSV;42;01.06.2021;13:10:22;5;4;0;363;0.53;0;0.811;0.34;0.346;52.8
Spi_A_11_t1.CSV;52;01.06.2021;13:10:32;6;4;0;619;0.572;0;0.78;0.334;0.267;69.3
Spi_A_11_t1.CSV;62;01.06.2021;13:10:42;7;4;0;981;0.587;0;0.731;0.325;0.197;81.2
Spi_A_11_t1.CSV;72;01.06.2021;13:10:52;8;4;0;1386;0.577;0;0.684;0.315;0.156;91.1
Spi_A_11_t1.CSV;82;01.06.2021;13:11:02;9;4;0;2015;0.559;0;0.632;0.304;0.116;97.8
