# Filename;t;Date;Time;No.;ML;Temp.;PAR;F;Fo';Fm';~Fo';Y(II);ETR
Spi_A_10_t0.CSV;2;23.04.2021;14:43:29;1;4;0;0;0.394;0;0.956;0.394;0.588;0
Spi_A_10_t0.CSV;12;23.04.2021;14:43:39;2;4;0;31;0.407;0;0.937;0.391;0.566;7.4
Spi_A_10_t0.CSV;22;23.04.2021;14:43:49;3;4;0;101;0.456;0;0.93;0.39;0.51;21.6
Spi_A_10_t0.CSV;32;23.04.2021;14:43:59;4;4;0;198;0.501;0;0.917;0.387;0.454;37.7
Spi_A_10_t0.CSV;42;23.04.2021;14:44:09;5;4;0;363;0.548;0;0.881;0.381;0.378;57.6
Spi_A_10_t0.CSV;52;23.04.2021;14:44:19;6;4;0;619;0.581;0;0.827;0.37;0.297;77.3
Spi_A_10_t0.CSV;62;23.04.2021;14:44:29;7;4;0;981;0.588;0;0.764;0.357;0.23;94.9
Spi_A_10_t0.CSV;72;23.04.2021;14:44:39;8;4;0;1386;0.574;0;0.696;0.341;0.175;102
Spi_A_10_t0.CSV;82;23.04.2021;14:44:49;9;4;0;2015;0.554;0;0.637;0.327;0.13;110.3
Spi_A_10_t0.CSV;92;23.04.2021;14:44:59;10;4;0;2970;0.529;0;0.581;0.311;0.09;111.6
Spi_A_11_t0.CSV;1;23.04.2021;15:27:25;1;4;0;0;0.353;0;0.832;0.353;0.576;0
Spi_A_11_t0.CSV;12;23.04.2021;15:27:36;2;4;0;31;0.355;0;0.816;0.35;0.565;7.4
Spi_A_11_t0.CSV;22;23.04.2021;15:27:46;3;4;0;101;0.39;0;0.81;0.349;0.519;22
Spi_A_11_t0.CSV;32;23.04.2021;15:27:56;4;4;0;198;0.432;0;0.798;0.347;0.459;38.1
Spi_A_11_t0.CSV;42;23.04.2021;15:28:06;5;4;0;363;0.472;0;0.765;0.34;0.383;58.4
Spi_A_11_t0.CSV;52;23.04.2021;15:28:16;6;4;0;619;0.501;0;0.717;0.331;0.301;78.3
Spi_A_11_t0.CSV;62;23.04.2021;15:28:26;7;4;0;981;0.497;0;0.652;0.316;0.238;97.9
Spi_A_11_t0.CSV;72;23.04.2021;15:28:36;8;4;0;1386;0.484;0;0.59;0.301;0.18;104.6
Spi_A_11_t0.CSV;82;23.04.2021;15:28:46;9;4;0;2015;0.466;0;0.537;0.286;0.132;111.9
Spi_A_11_t0.CSV;92;23.04.2021;15:28:56;10;4;0;2970;0.441;0;0.487;0.271;0.094;117.8
Spi_A_12_t0.CSV;2;23.04.2021;16:14:43;1;4;0;0;0.325;0;0.754;0.325;0.569;0
Spi_A_12_t0.CSV;12;23.04.2021;16:14:53;2;4;0;31;0.357;0;0.738;0.322;0.516;6.7
Spi_A_12_t0.CSV;22;23.04.2021;16:15:03;3;4;0;101;0.437;0;0.734;0.321;0.405;17.2
Spi_A_12_t0.CSV;32;23.04.2021;16:15:13;4;4;0;198;0.493;0;0.722;0.319;0.317;26.4
Spi_A_12_t0.CSV;42;23.04.2021;16:15:23;5;4;0;363;0.537;0;0.703;0.315;0.236;36
Spi_A_12_t0.CSV;52;23.04.2021;16:15:33;6;4;0;619;0.557;0;0.675;0.309;0.175;45.4
Spi_A_12_t0.CSV;62;23.04.2021;16:15:43;7;4;0;981;0.555;0;0.634;0.3;0.125;51.3
Spi_A_12_t0.CSV;72;23.04.2021;16:15:53;8;4;0;1386;0.542;0;0.6;0.293;0.097;56.3
Spi_A_12_t0.CSV;82;23.04.2021;16:16:03;9;4;0;2015;0.524;0;0.56;0.283;0.064;54.4
Spi_A_12_t0.CSV;92;23.04.2021;16:16:13;10;4;0;2970;0.503;0;0.525;0.274;0.042;52.3
Spi_A_13_t0.CSV;2;23.04.2021;16:46:19;1;4;0;0;0.344;0;0.826;0.344;0.584;0
Spi_A_13_t0.CSV;12;23.04.2021;16:46:29;2;4;0;31;0.356;0;0.814;0.342;0.563;7.3
Spi_A_13_t0.CSV;22;23.04.2021;16:46:39;3;4;0;101;0.393;0;0.789;0.337;0.502;21.3
Spi_A_13_t0.CSV;32;23.04.2021;16:46:49;4;4;0;198;0.444;0;0.787;0.337;0.436;36.2
Spi_A_13_t0.CSV;42;23.04.2021;16:46:59;5;4;0;363;0.481;0;0.748;0.33;0.357;54.4
Spi_A_13_t0.CSV;52;23.04.2021;16:47:09;6;4;0;619;0.522;0;0.728;0.326;0.283;73.6
Spi_A_13_t0.CSV;62;23.04.2021;16:47:19;7;4;0;981;0.527;0;0.668;0.313;0.211;87
Spi_A_13_t0.CSV;72;23.04.2021;16:47:29;8;4;0;1386;0.505;0;0.607;0.299;0.168;97.8
Spi_A_13_t0.CSV;82;23.04.2021;16:47:39;9;4;0;2015;0.486;0;0.55;0.285;0.116;98.5
Spi_A_13_t0.CSV;92;23.04.2021;16:47:49;10;4;0;2970;0.453;0;0.489;0.267;0.074;91.8
Spi_A_14_t0.CSV;2;24.04.2021;14:30:58;1;4;0;0;0.312;0;0.721;0.312;0.567;0
Spi_A_14_t0.CSV;12;24.04.2021;14:31:08;2;4;0;31;0.305;0;0.702;0.308;0.566;7.4
Spi_A_14_t0.CSV;22;24.04.2021;14:31:18;3;4;0;101;0.331;0;0.707;0.309;0.532;22.6
Spi_A_14_t0.CSV;32;24.04.2021;14:31:28;4;4;0;198;0.361;0;0.701;0.308;0.485;40.3
Spi_A_14_t0.CSV;42;24.04.2021;14:31:38;5;4;0;363;0.396;0;0.68;0.304;0.418;63.7
Spi_A_14_t0.CSV;52;24.04.2021;14:31:48;6;4;0;619;0.424;0;0.647;0.297;0.345;89.6
Spi_A_14_t0.CSV;62;24.04.2021;14:31:58;7;4;0;981;0.438;0;0.603;0.288;0.274;112.7
Spi_A_14_t0.CSV;72;24.04.2021;14:32:08;8;4;0;1386;0.433;0;0.556;0.276;0.221;128.8
Spi_A_14_t0.CSV;82;24.04.2021;14:32:18;9;4;0;2015;0.421;0;0.503;0.263;0.163;138
Spi_A_14_t0.CSV;92;24.04.2021;14:32:28;10;4;0;2970;0.408;0;0.462;0.251;0.117;145.8
Spi_A_15_t0.CSV;2;24.04.2021;15:15:58;1;4;0;0;0.389;0;0.929;0.389;0.581;0
Spi_A_15_t0.CSV;12;24.04.2021;15:16:08;2;4;0;31;0.408;0;0.909;0.385;0.551;7.2
Spi_A_15_t0.CSV;22;24.04.2021;15:16:18;3;4;0;101;0.463;0;0.902;0.384;0.487;20.6
Spi_A_15_t0.CSV;32;24.04.2021;15:16:28;4;4;0;198;0.509;0;0.882;0.381;0.423;35.2
Spi_A_15_t0.CSV;42;24.04.2021;15:16:38;5;4;0;363;0.555;0;0.847;0.374;0.345;52.6
Spi_A_15_t0.CSV;52;24.04.2021;15:16:48;6;4;0;619;0.584;0;0.802;0.365;0.272;70.7
Spi_A_15_t0.CSV;62;24.04.2021;15:16:58;7;4;0;981;0.591;0;0.747;0.353;0.209;86
Spi_A_15_t0.CSV;72;24.04.2021;15:17:08;8;4;0;1386;0.579;0;0.692;0.34;0.163;95.1
Spi_A_15_t0.CSV;82;24.04.2021;15:17:18;9;4;0;2015;0.563;0;0.638;0.327;0.118;99.5
Spi_A_15_t0.CSV;92;24.04.2021;15:17:28;10;4;0;2970;0.541;0;0.587;0.313;0.078;97.8
Spi_A_1_t0.CSV;2;21.04.2021;15:27:27;1;4;0;0;0.276;0;0.675;0.276;0.591;0
Spi_A_1_t0.CSV;12;21.04.2021;15:27:37;2;4;0;31;0.289;0;0.667;0.275;0.567;7.4
Spi_A_1_t0.CSV;22;21.04.2021;15:27:47;3;4;0;101;0.337;0;0.671;0.275;0.498;21.1
Spi_A_1_t0.CSV;32;21.04.2021;15:27:57;4;4;0;198;0.379;0;0.667;0.275;0.432;35.9
Spi_A_1_t0.CSV;42;21.04.2021;15:28:07;5;4;0;363;0.418;0;0.652;0.272;0.359;54.7
Spi_A_1_t0.CSV;52;21.04.2021;15:28:17;6;4;0;619;0.448;0;0.624;0.267;0.282;73.3
Spi_A_1_t0.CSV;62;21.04.2021;15:28:27;7;4;0;981;0.461;0;0.59;0.261;0.219;90.1
Spi_A_1_t0.CSV;72;21.04.2021;15:28:37;8;4;0;1386;0.456;0;0.552;0.253;0.174;101.2
Spi_A_1_t0.CSV;82;21.04.2021;15:28:47;9;4;0;2015;0.447;0;0.513;0.244;0.129;108.9
Spi_A_1_t0.CSV;92;21.04.2021;15:28:57;10;4;0;2970;0.436;0;0.48;0.237;0.092;114.3
Spi_A_2_t0.CSV;2;21.04.2021;16:38:15;1;4;0;0;0.282;0;0.602;0.282;0.532;0
Spi_A_2_t0.CSV;12;21.04.2021;16:38:25;2;4;0;31;0.311;0;0.597;0.281;0.479;6.2
Spi_A_2_t0.CSV;22;21.04.2021;16:38:35;3;4;0;101;0.371;0;0.594;0.28;0.375;15.9
Spi_A_2_t0.CSV;32;21.04.2021;16:38:45;4;4;0;198;0.414;0;0.588;0.279;0.296;24.6
Spi_A_2_t0.CSV;42;21.04.2021;16:38:55;5;4;0;363;0.447;0;0.567;0.274;0.212;32.3
Spi_A_2_t0.CSV;52;21.04.2021;16:39:05;6;4;0;619;0.462;0;0.544;0.269;0.151;39.2
Spi_A_2_t0.CSV;62;21.04.2021;16:39:15;7;4;0;981;0.46;0;0.515;0.261;0.107;44
Spi_A_2_t0.CSV;72;21.04.2021;16:39:25;8;4;0;1386;0.447;0;0.487;0.254;0.082;47.8
Spi_A_2_t0.CSV;82;21.04.2021;16:39:35;9;4;0;2015;0.433;0;0.457;0.246;0.053;44.4
Spi_A_2_t0.CSV;92;21.04.2021;16:39:45;10;4;0;2970;0.415;0;0.431;0.238;0.037;46.3
Spi_A_3_t0.CSV;2;22.04.2021;13:49:59;1;4;0;0;0.314;0;0.746;0.314;0.579;0
Spi_A_3_t0.CSV;12;22.04.2021;13:50:09;2;4;0;31;0.32;0;0.736;0.312;0.565;7.4
Spi_A_3_t0.CSV;22;22.04.2021;13:50:19;3;4;0;101;0.358;0;0.732;0.311;0.511;21.7
Spi_A_3_t0.CSV;32;22.04.2021;13:50:29;4;4;0;198;0.396;0;0.719;0.309;0.449;37.4
Spi_A_3_t0.CSV;42;22.04.2021;13:50:39;5;4;0;363;0.439;0;0.699;0.305;0.372;56.7
Spi_A_3_t0.CSV;52;22.04.2021;13:50:49;6;4;0;619;0.468;0;0.67;0.3;0.301;78.4
Spi_A_3_t0.CSV;62;22.04.2021;13:50:59;7;4;0;981;0.48;0;0.623;0.29;0.23;94.6
Spi_A_3_t0.CSV;72;22.04.2021;13:51:09;8;4;0;1386;0.472;0;0.578;0.28;0.183;106.8
Spi_A_3_t0.CSV;82;22.04.2021;13:51:19;9;4;0;2015;0.461;0;0.532;0.269;0.133;112.9
Spi_A_3_t0.CSV;92;22.04.2021;13:51:29;10;4;0;2970;0.445;0;0.491;0.258;0.094;116.9
Spi_A_4_t0.CSV;2;22.04.2021;14:29:43;1;4;0;0;0.341;0;0.763;0.341;0.553;0
Spi_A_4_t0.CSV;12;22.04.2021;14:29:53;2;4;0;31;0.364;0;0.755;0.339;0.518;6.7
Spi_A_4_t0.CSV;22;22.04.2021;14:30:03;3;4;0;101;0.418;0;0.749;0.338;0.442;18.7
Spi_A_4_t0.CSV;32;22.04.2021;14:30:13;4;4;0;198;0.47;0;0.751;0.339;0.374;31.1
Spi_A_4_t0.CSV;42;22.04.2021;14:30:23;5;4;0;363;0.522;0;0.743;0.337;0.297;45.3
Spi_A_4_t0.CSV;52;22.04.2021;14:30:33;6;4;0;619;0.557;0;0.72;0.332;0.226;58.9
Spi_A_4_t0.CSV;62;22.04.2021;14:30:43;7;4;0;981;0.571;0;0.688;0.325;0.17;70.1
Spi_A_4_t0.CSV;72;22.04.2021;14:30:53;8;4;0;1386;0.569;0;0.657;0.318;0.134;78
Spi_A_4_t0.CSV;82;22.04.2021;14:31:03;9;4;0;2015;0.559;0;0.621;0.309;0.1;84.5
Spi_A_4_t0.CSV;92;22.04.2021;14:31:13;10;4;0;2970;0.542;0;0.58;0.299;0.066;81.7
Spi_A_5_t0.CSV;2;22.04.2021;15:20:41;1;4;0;0;0.343;0;0.753;0.343;0.544;0
Spi_A_5_t0.CSV;12;22.04.2021;15:20:51;2;4;0;31;0.371;0;0.748;0.342;0.504;6.6
Spi_A_5_t0.CSV;21;22.04.2021;15:21:00;3;4;0;101;0.423;0;0.742;0.341;0.43;18.2
Spi_A_5_t0.CSV;32;22.04.2021;15:21:11;4;4;0;198;0.48;0;0.732;0.339;0.344;28.6
Spi_A_5_t0.CSV;42;22.04.2021;15:21:21;5;4;0;363;0.525;0;0.72;0.336;0.271;41.3
Spi_A_5_t0.CSV;52;22.04.2021;15:21:31;6;4;0;619;0.558;0;0.692;0.33;0.194;50.3
Spi_A_5_t0.CSV;62;22.04.2021;15:21:41;7;4;0;981;0.572;0;0.682;0.327;0.161;66.5
Spi_A_5_t0.CSV;72;22.04.2021;15:21:51;8;4;0;1386;0.568;0;0.645;0.319;0.119;69.5
Spi_A_5_t0.CSV;82;22.04.2021;15:22:01;9;4;0;2015;0.562;0;0.616;0.311;0.088;74.2
Spi_A_5_t0.CSV;92;22.04.2021;15:22:11;10;4;0;2970;0.52;0;0.557;0.296;0.066;82.9
Spi_A_6_t0.CSV;2;22.04.2021;15:57:44;1;4;0;0;0.351;0;0.797;0.351;0.56;0
Spi_A_6_t0.CSV;12;22.04.2021;15:57:54;2;4;0;31;0.358;0;0.781;0.348;0.542;7.1
Spi_A_6_t0.CSV;22;22.04.2021;15:58:04;3;4;0;101;0.403;0;0.77;0.346;0.477;20.2
Spi_A_6_t0.CSV;32;22.04.2021;15:58:14;4;4;0;198;0.447;0;0.746;0.341;0.401;33.3
Spi_A_6_t0.CSV;42;22.04.2021;15:58:24;5;4;0;363;0.484;0;0.739;0.339;0.345;52.6
Spi_A_6_t0.CSV;52;22.04.2021;15:58:34;6;4;0;619;0.511;0;0.699;0.331;0.269;69.9
Spi_A_6_t0.CSV;62;22.04.2021;15:58:44;7;4;0;981;0.526;0;0.666;0.323;0.21;86.6
Spi_A_6_t0.CSV;72;22.04.2021;15:58:54;8;4;0;1386;0.52;0;0.622;0.312;0.164;95.5
Spi_A_6_t0.CSV;82;22.04.2021;15:59:04;9;4;0;2015;0.499;0;0.566;0.298;0.118;100.2
Spi_A_6_t0.CSV;92;22.04.2021;15:59:14;10;4;0;2970;0.483;0;0.525;0.286;0.08;99.8
Spi_A_7_t0.CSV;2;22.04.2021;16:45:03;1;4;0;0;0.317;0;0.698;0.317;0.546;0
Spi_A_7_t0.CSV;12;22.04.2021;16:45:13;2;4;0;31;0.339;0;0.695;0.316;0.512;6.7
Spi_A_7_t0.CSV;22;22.04.2021;16:45:23;3;4;0;101;0.388;0;0.687;0.315;0.435;18.5
Spi_A_7_t0.CSV;32;22.04.2021;16:45:33;4;4;0;198;0.431;0;0.685;0.314;0.371;30.8
Spi_A_7_t0.CSV;42;22.04.2021;16:45:43;5;4;0;363;0.475;0;0.678;0.313;0.299;45.6
Spi_A_7_t0.CSV;52;22.04.2021;16:45:53;6;4;0;619;0.504;0;0.651;0.307;0.226;58.7
Spi_A_7_t0.CSV;62;22.04.2021;16:46:03;7;4;0;981;0.516;0;0.62;0.3;0.168;69.1
Spi_A_7_t0.CSV;72;22.04.2021;16:46:13;8;4;0;1386;0.509;0;0.584;0.291;0.128;74.8
Spi_A_7_t0.CSV;82;22.04.2021;16:46:23;9;4;0;2015;0.497;0;0.549;0.282;0.095;80.2
Spi_A_7_t0.CSV;92;22.04.2021;16:46:33;10;4;0;2970;0.482;0;0.513;0.272;0.06;75.4
Spi_A_8_t0.CSV;1;23.04.2021;13:19:11;1;4;0;0;0.38;0;0.892;0.38;0.574;0
Spi_A_8_t0.CSV;12;23.04.2021;13:19:22;2;4;0;31;0.401;0;0.881;0.378;0.545;7.1
Spi_A_8_t0.CSV;22;23.04.2021;13:19:32;3;4;0;101;0.465;0;0.87;0.376;0.466;19.7
Spi_A_8_t0.CSV;31;23.04.2021;13:19:41;4;4;0;198;0.52;0;0.861;0.374;0.396;32.9
Spi_A_8_t0.CSV;42;23.04.2021;13:19:52;5;4;0;363;0.572;0;0.836;0.369;0.316;48.1
