nr;# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
2;3834044103;28.06.2021;12:15:03;Spi_A_1;4;0;0;0.303;0.742;0.592;
3;3834044108;28.06.2021;12:15:08;Spi_A_1;4;0;0;0.364;0.725;0.498;
4;3834044113;28.06.2021;12:15:13;Spi_A_1;4;0;0;0.26;0.615;0.577;
6;3834044125;28.06.2021;12:15:25;Spi_B_1;4;0;0;0.31;0.842;0.632;
7;3834044128;28.06.2021;12:15:28;Spi_B_1;4;0;0;0.195;0.438;0.555;
8;3834044134;28.06.2021;12:15:34;Spi_B_1;4;0;0;0.296;0.749;0.605;
10;3834044144;28.06.2021;12:15:44;Spi_C_1;4;0;0;0.271;0.793;0.658;
11;3834044148;28.06.2021;12:15:48;Spi_C_1;4;0;0;0.326;0.797;0.591;
12;3834044153;28.06.2021;12:15:53;Spi_C_1;4;0;0;0.309;0.712;0.566;
14;3834044164;28.06.2021;12:16:04;Spi_D_1;4;0;0;0.408;1.044;0.609;
15;3834044168;28.06.2021;12:16:08;Spi_D_1;4;0;0;0.382;0.853;0.552;
16;3834044173;28.06.2021;12:16:13;Spi_D_1;4;0;0;0.403;0.977;0.588;
18;3834044184;28.06.2021;12:16:24;Spi_E_1;4;0;0;0.285;0.723;0.606;
19;3834044188;28.06.2021;12:16:28;Spi_E_1;4;0;0;0.317;0.837;0.621;
20;3834044193;28.06.2021;12:16:33;Spi_E_1;4;0;0;0.295;0.679;0.566;
22;3834044203;28.06.2021;12:16:43;Spi_F_1;4;0;0;0.385;0.883;0.564;
23;3834044210;28.06.2021;12:16:50;Spi_F_1;4;0;0;0.226;0.583;0.612;
24;3834044216;28.06.2021;12:16:56;Spi_F_1;4;0;0;0.224;0.565;0.604;
26;3834044236;28.06.2021;12:17:16;Pve_A_1;4;0;0;0.398;1.07;0.628;
27;3834044240;28.06.2021;12:17:20;Pve_A_1;4;0;0;0.342;0.674;0.493;
28;3834044245;28.06.2021;12:17:25;Pve_A_1;4;0;0;0.371;1.046;0.645;
30;3834044256;28.06.2021;12:17:36;Pve_B_1;4;0;0;0.201;0.565;0.644;
31;3834044263;28.06.2021;12:17:43;Pve_B_1;4;0;0;0.298;0.698;0.573;
32;3834044269;28.06.2021;12:17:49;Pve_B_1;4;0;0;0.245;0.66;0.629;
34;3834044280;28.06.2021;12:18:00;Pve_C_1;4;0;0;0.271;0.739;0.633;
35;3834044286;28.06.2021;12:18:06;Pve_C_1;4;0;0;0.296;0.887;0.666;
36;3834044293;28.06.2021;12:18:13;Pve_C_1;4;0;0;0.366;0.915;0.6;
38;3834044303;28.06.2021;12:18:23;Pve_D_1;4;0;0;0.296;0.724;0.591;
39;3834044308;28.06.2021;12:18:28;Pve_D_1;4;0;0;0.306;0.747;0.59;
40;3834044317;28.06.2021;12:18:37;Pve_D_1;4;0;0;0.227;0.573;0.604;
42;3834044327;28.06.2021;12:18:47;Pve_E_1;4;0;0;0.26;0.64;0.594;
43;3834044331;28.06.2021;12:18:51;Pve_E_1;4;0;0;0.275;0.666;0.587;
44;3834044335;28.06.2021;12:18:55;Pve_E_1;4;0;0;0.211;0.509;0.585;
46;3834044344;28.06.2021;12:19:04;Pve_F_1;4;0;0;0.197;0.518;0.62;
