# Filename;t;Date;Time;No.;ML;Temp.;PAR;F;Fo';Fm';~Fo';Y(II);ETR
Pve_A_10_t3.CSV;2;26.07.2021;14:50:02;1;4;0;0;0.341;0;0.974;0.341;0.65;0
Pve_A_10_t3.CSV;13;26.07.2021;14:50:13;2;4;0;31;0.355;0;0.965;0.34;0.632;8.2
Pve_A_10_t3.CSV;22;26.07.2021;14:50:22;3;4;0;101;0.422;0;0.972;0.341;0.566;24
Pve_A_10_t3.CSV;32;26.07.2021;14:50:32;4;4;0;198;0.502;0;0.973;0.341;0.484;40.3
Pve_A_10_t3.CSV;42;26.07.2021;14:50:42;5;4;0;363;0.612;0;0.978;0.341;0.374;57.1
Pve_A_10_t3.CSV;52;26.07.2021;14:50:52;6;4;0;619;0.709;0;0.968;0.34;0.268;69.6
Pve_A_10_t3.CSV;62;26.07.2021;14:51:02;7;4;0;981;0.774;0;0.953;0.338;0.188;77.4
Pve_A_10_t3.CSV;72;26.07.2021;14:51:12;8;4;0;1386;0.803;0;0.935;0.336;0.141;82.2
Pve_A_10_t3.CSV;82;26.07.2021;14:51:22;9;4;0;2015;0.818;0;0.909;0.333;0.1;84.7
Pve_A_10_t3.CSV;92;26.07.2021;14:51:32;10;4;0;2970;0.816;0;0.87;0.327;0.062;77.4
Pve_A_11_t3.CSV;2;27.07.2021;14:25:58;1;4;0;0;0.341;0;0.955;0.341;0.643;0
Pve_A_11_t3.CSV;12;27.07.2021;14:26:08;2;4;0;31;0.373;0;0.952;0.341;0.608;7.9
Pve_A_11_t3.CSV;22;27.07.2021;14:26:18;3;4;0;101;0.452;0;0.949;0.34;0.524;22.2
Pve_A_11_t3.CSV;32;27.07.2021;14:26:28;4;4;0;198;0.537;0;0.952;0.341;0.436;36.3
Pve_A_11_t3.CSV;42;27.07.2021;14:26:38;5;4;0;363;0.641;0;0.951;0.34;0.326;49.7
Pve_A_11_t3.CSV;52;27.07.2021;14:26:48;6;4;0;619;0.729;0;0.941;0.339;0.225;58.6
Pve_A_11_t3.CSV;62;27.07.2021;14:26:58;7;4;0;981;0.787;0;0.937;0.339;0.16;66
Pve_A_11_t3.CSV;72;27.07.2021;14:27:08;8;4;0;1386;0.817;0;0.922;0.337;0.114;66.3
Pve_A_11_t3.CSV;82;27.07.2021;14:27:18;9;4;0;2015;0.833;0;0.906;0.335;0.081;68.2
Pve_A_11_t3.CSV;92;27.07.2021;14:27:28;10;4;0;2970;0.832;0;0.877;0.331;0.051;64
Pve_A_12_t3.CSV;2;27.07.2021;14:59:31;1;4;0;0;0.405;0;1.167;0.405;0.653;0
Pve_A_12_t3.CSV;12;27.07.2021;14:59:41;2;4;0;31;0.444;0;1.15;0.403;0.614;8
Pve_A_12_t3.CSV;22;27.07.2021;14:59:51;3;4;0;101;0.56;0;1.148;0.403;0.512;21.7
Pve_A_12_t3.CSV;32;27.07.2021;15:00:01;4;4;0;198;0.667;0;1.15;0.403;0.42;34.9
Pve_A_12_t3.CSV;42;27.07.2021;15:00:11;5;4;0;363;0.792;0;1.155;0.404;0.314;47.9
Pve_A_12_t3.CSV;52;27.07.2021;15:00:21;6;4;0;619;0.9;0;1.156;0.404;0.221;57.6
Pve_A_12_t3.CSV;62;27.07.2021;15:00:31;7;4;0;981;0.973;0;1.149;0.403;0.153;63.1
Pve_A_12_t3.CSV;72;27.07.2021;15:00:41;8;4;0;1386;1.013;0;1.137;0.401;0.109;63.5
