# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
13105;28.06.2021;18:55:40;Spi_A_1;4;0;0;0.178;0;0.552;
13116;28.06.2021;18:55:51;Spi_B_1;4;0;0;0.172;0;0.597;
13128;28.06.2021;18:56:03;Spi_C_1;4;0;0;0.129;0;0.489;
13140;28.06.2021;18:56:15;Spi_D_1;4;0;0;0.24;0;0.783;
13154;28.06.2021;18:56:29;Spi_E_1;4;0;0;0.136;0;0.373;
13166;28.06.2021;18:56:41;Spi_F_1;4;0;0;0.176;0;0.54;
13179;28.06.2021;18:56:54;Pve_A_1;4;0;0;0.262;0;0.902;
13195;28.06.2021;18:57:10;Pve_B_1;4;0;0;0.096;0;0.293;
13211;28.06.2021;18:57:26;Pve_C_1;4;0;0;0.21;0;0.731;
13221;28.06.2021;18:57:36;Pve_D_1;4;0;0;0.186;0;0.524;
13237;28.06.2021;18:57:52;Pve_E_1;4;0;0;0.143;0;0.406;
13247;28.06.2021;18:58:02;Pve_F_1;4;0;0;0.186;0;0.523;
13262;28.06.2021;18:58:17;Spi_A_2;4;0;0;0.112;0;0.317;
3833981661;27.06.2021;18:54:21;Spi_A_11;4;0;0;0.221;0;0.659;
3833981674;27.06.2021;18:54:34;Spi_B_11;4;0;0;0.232;0;0.752;
3833981687;27.06.2021;18:54:47;Spi_C_11;4;0;0;0.224;0;0.808;
3833981699;27.06.2021;18:54:59;Spi_D_11;4;0;0;0.094;0;0.259;
3833981712;27.06.2021;18:55:12;Spi_E_11;4;0;0;0.165;0;0.498;
3833981725;27.06.2021;18:55:25;Spi_F_11;4;0;0;0.251;0;0.709;
3833981811;27.06.2021;18:56:51;Pve_A_11;4;0;0;0.194;0;0.747;
3833981823;27.06.2021;18:57:03;Pve_B_11;4;0;0;0.106;0;0.37;
3833981835;27.06.2021;18:57:15;Pve_C_11;4;0;0;0.211;0;0.691;
3833981848;27.06.2021;18:57:28;Pve_D_11;4;0;0;0.217;0;0.631;
3833981861;27.06.2021;18:57:41;Pve_E_11;4;0;0;0.107;0;0.292;
3833981872;27.06.2021;18:57:52;Pve_F_11;4;0;0;0.24;0;0.619;
3833981886;27.06.2021;18:58:06;Spi_A_12;4;0;0;0.171;0;0.503;
3833981898;27.06.2021;18:58:18;Spi_B_12;4;0;0;0.257;0;0.924;
3833981910;27.06.2021;18:58:30;Spi_C_12;4;0;0;0.149;0;0.53;
3833981921;27.06.2021;18:58:41;Spi_D_12;4;0;0;0.195;0;0.582;
3833981932;27.06.2021;18:58:52;Spi_E_12;4;0;0;0.175;0;0.539;
3833981944;27.06.2021;18:59:04;Spi_F_12;4;0;0;0.218;0;0.655;
3833981959;27.06.2021;18:59:19;Pve_A_12;4;0;0;0.153;0;0.488;
3833981972;27.06.2021;18:59:32;Pve_B_12;4;0;0;0.065;0;0.326;
3833981987;27.06.2021;18:59:47;Pve_C_12;4;0;0;0.157;0;0.52;
3833981998;27.06.2021;18:59:58;Pve_D_12;4;0;0;0.186;0;0.569;
3833982012;27.06.2021;19:00:12;Pve_E_12;4;0;0;0.293;0;0.924;
3833982025;27.06.2021;19:00:25;Pve_F_12;4;0;0;0.145;0;0.42;
3833982040;27.06.2021;19:00:40;Spi_A_13;4;0;0;0.165;0;0.493;
3833982055;27.06.2021;19:00:55;Spi_B_13;4;0;0;0.185;0;0.618;
3833982067;27.06.2021;19:01:07;Spi_C_13;4;0;0;0.237;0;0.857;
3833982079;27.06.2021;19:01:19;Spi_D_13;4;0;0;0.215;0;0.609;
3833982094;27.06.2021;19:01:34;Spi_E_13;4;0;0;0.224;0;0.684;
3833982106;27.06.2021;19:01:46;Spi_F_13;4;0;0;0.219;0;0.582;
3833982120;27.06.2021;19:02:00;Pve_A_13;4;0;0;0.251;0;0.913;
3833982133;27.06.2021;19:02:13;Pve_B_13;4;0;0;0.174;0;0.597;
3833982148;27.06.2021;19:02:28;Pve_C_13;4;0;0;0.193;0;0.675;
3833982163;27.06.2021;19:02:43;Pve_D_13;4;0;0;0.168;0;0.5;
3833982175;27.06.2021;19:02:55;Pve_E_13;4;0;0;0.15;0;0.515;
3833982189;27.06.2021;19:03:09;Pve_F_13;4;0;0;0.16;0;0.453;
3833982209;27.06.2021;19:03:29;Spi_A_14;4;0;0;0.12;0;0.326;
3833982221;27.06.2021;19:03:41;Spi_B_14;4;0;0;0.201;0;0.685;
3833982234;27.06.2021;19:03:54;Spi_C_14;4;0;0;0.184;0;0.65;
3833982258;27.06.2021;19:04:18;Spi_D_14;4;0;0;0.245;0;0.729;
3833982271;27.06.2021;19:04:31;Spi_E_14;4;0;0;0.109;0;0.318;
3833982285;27.06.2021;19:04:45;Spi_F_14;4;0;0;0.226;0;0.682;
3833982301;27.06.2021;19:05:01;Pve_A_14;4;0;0;0.288;0;0.982;
3833982314;27.06.2021;19:05:14;Pve_B_14;4;0;0;0.14;0;0.514;
3833982328;27.06.2021;19:05:28;Pve_C_14;4;0;0;0.249;0;0.876;
3833982341;27.06.2021;19:05:41;Pve_D_14;4;0;0;0.146;0;0.404;
3833982358;27.06.2021;19:05:58;Pve_E_14;4;0;0;0.169;0;0.637;
3833982371;27.06.2021;19:06:11;Pve_F_14;4;0;0;0.208;0;0.576;
3833982391;27.06.2021;19:06:31;Spi_A_15;4;0;0;0.137;0;0.39;
3833982405;27.06.2021;19:06:45;Spi_B_15;4;0;0;0.067;0;0.199;
3833982418;27.06.2021;19:06:58;Spi_C_15;4;0;0;0.264;0;0.948;
3833982433;27.06.2021;19:07:13;Spi_D_15;4;0;0;0.119;0;0.373;
3833982449;27.06.2021;19:07:29;Spi_E_15;4;0;0;0.245;0;0.717;
3833982463;27.06.2021;19:07:43;Spi_F_15;4;0;0;0.163;0;0.486;
3833982479;27.06.2021;19:07:59;Pve_A_15;4;0;0;0.216;0;0.713;
3833982495;27.06.2021;19:08:15;Pve_B_15;4;0;0;0.146;0;0.472;
3833982510;27.06.2021;19:08:30;Pve_C_15;4;0;0;0.186;0;0.642;
3833982525;27.06.2021;19:08:45;Pve_D_15;4;0;0;0.183;0;0.474;
3833982541;27.06.2021;19:09:01;Pve_E_15;4;0;0;0.142;0;0.497;
3833982556;27.06.2021;19:09:16;Pve_F_15;4;0;0;0.144;0;0.37;
13412;28.06.2021;19:00:47;Spi_B_2;4;0;0;0.159;0;0.536;
13423;28.06.2021;19:00:58;Spi_C_2;4;0;0;0.208;0;0.762;
13444;28.06.2021;19:01:19;Spi_D_2;4;0;0;0.139;0;0.397;
13454;28.06.2021;19:01:29;Spi_E_2;4;0;0;0.221;0;0.624;
13469;28.06.2021;19:01:44;Spi_F_2;4;0;0;0.197;0;0.558;
13480;28.06.2021;19:01:55;Pve_A_2;4;0;0;0.272;0;0.951;
13496;28.06.2021;19:02:11;Pve_B_2;4;0;0;0.081;0;0.278;
13506;28.06.2021;19:02:21;Pve_C_2;4;0;0;0.271;0;0.874;
13520;28.06.2021;19:02:35;Pve_D_2;4;0;0;0.183;0;0.519;
13531;28.06.2021;19:02:46;Pve_E_2;4;0;0;0.246;0;0.89;
13544;28.06.2021;19:02:59;Pve_F_2;4;0;0;0.136;0;0.413;
13558;28.06.2021;19:03:13;Spi_A_3;4;0;0;0.148;0;0.447;
13571;28.06.2021;19:03:26;Spi_B_3;4;0;0;0.264;0;0.949;
13584;28.06.2021;19:03:39;Spi_C_3;4;0;0;0.12;0;0.424;
13598;28.06.2021;19:03:53;Spi_D_3;4;0;0;0.117;0;0.337;
13611;28.06.2021;19:04:06;Spi_E_3;4;0;0;0.267;0;0.721;
13625;28.06.2021;19:04:20;Spi_F_3;4;0;0;0.169;0;0.472;
13635;28.06.2021;19:04:30;Pve_A_3;4;0;0;0.196;0;0.715;
13649;28.06.2021;19:04:44;Pve_B_3;4;0;0;0.201;0;0.674;
13663;28.06.2021;19:04:58;Pve_C_3;4;0;0;0.168;0;0.572;
13681;28.06.2021;19:05:16;Pve_D_3;4;0;0;0.088;0;0.251;
13692;28.06.2021;19:05:27;Pve_E_3;4;0;0;0.23;0;0.639;
13705;28.06.2021;19:05:40;Pve_F_3;4;0;0;0.12;0;0.392;
13719;28.06.2021;19:05:54;Spi_A_4;4;0;0;0.237;0;0.722;
13733;28.06.2021;19:06:08;Spi_B_4;4;0;0;0.086;0;0.301;
13746;28.06.2021;19:06:21;Spi_C_4;4;0;0;0.228;0;0.829;
13760;28.06.2021;19:06:35;Spi_D_4;4;0;0;0.167;0;0.391;
13774;28.06.2021;19:06:49;Spi_E_4;4;0;0;0.161;0;0.46;
13787;28.06.2021;19:07:02;Spi_F_4;4;0;0;0.246;0;0.723;
13802;28.06.2021;19:07:17;Pve_A_4;4;0;0;0.129;0;0.455;
13819;28.06.2021;19:07:34;Pve_B_4;4;0;0;0.222;0;0.779;
13833;28.06.2021;19:07:48;Pve_C_4;4;0;0;0.154;0;0.541;
13846;28.06.2021;19:08:01;Pve_D_4;4;0;0;0.122;0;0.358;
