"ID_time";"alpha";"beta";"rETRmax";"Ek";"ps"
"1";"Pve_A_1_t0";0.616118001816904;0.00555271537084957;199.219623431239;323.346538883379;209.746912092486
"2";"Pve_A_1_t1";0.581422833654774;0;185.404264930268;318.880260970889;185.404264930268
"3";"Pve_A_1_t2";0.515460570039394;0.00487056127380367;133.925290737164;259.816751312189;141.291505107075
"4";"Pve_A_1_t3";0.579357632572358;0.00555905880441747;128.121793933422;221.144568967804;135.261032939373
"5";"Pve_A_10_t0";0.55227041791763;0;190.814556622569;345.509283915744;190.814556622569
"6";"Pve_A_10_t1";0.567253698859757;0.000199560321811294;150.718908692967;265.699296445186;151.194352182575
"7";"Pve_A_10_t2";0.548888070814671;0.00945873600709149;193.423971279704;352.392375721739;211.081704357961
"8";"Pve_A_10_t3";0.630432563722084;0.0046905479833024;193.742844081138;307.317317077146;202.443924513184
"9";"Pve_A_11_t0";0.582487448680104;0.00517189772585645;212.903028162841;365.506636486798;224.012088008494
"10";"Pve_A_11_t1";0.66153565077705;0.00357978643206633;215.669716879857;326.013747900854;223.054742624024
"11";"Pve_A_11_t2";0.638225726305951;0;193.638982788696;303.402032866143;193.638982788696
"12";"Pve_A_11_t3";0.60160774174384;0.00262940226712078;158.04738803123;262.708368035805;162.555588328195
"13";"Pve_A_12_t0";0.606110645343332;0;199.099897885659;328.487709983841;199.099897885659
"14";"Pve_A_12_t1";0.690601009797768;0.00640699935510006;238.038416644581;344.682983759735;250.929580155434
"15";"Pve_A_12_t2";0.641638572543173;0.00667250813014079;238.766387809178;372.119754058445;253.008120078115
"16";"Pve_A_12_t3";0.590257003965094;0.00462956850950172;150.495383593075;254.965858231434;157.563965209976
"17";"Pve_A_13_t0";0.633634834685248;0;248.933003633024;392.865085702997;248.933003633024
"18";"Pve_A_13_t1";0.667769488196861;0.00132219818223825;229.469924353294;343.636432046212;232.776529167626
"19";"Pve_A_13_t2";0.615133227098347;0;214.048014952581;347.970172188991;214.048014952581
"20";"Pve_A_13_t3";0.600276362074926;0;202.601322396164;337.513410816059;202.601322396164
"21";"Pve_A_14_t0";0.625843525163665;0.00398983870818177;192.033736805232;306.839855465491;199.595942430751
"22";"Pve_A_14_t1";0.657400662233868;0.00595042425157073;180.541477037111;274.629289881797;190.116745425355
"23";"Pve_A_14_t2";0.570797490030476;0.00952737033093608;160.102140420156;280.488515132762;174.331251404155
"24";"Pve_A_14_t3";0.544494253251649;0;192.534543617035;353.602526504631;192.534543617035
"25";"Pve_A_15_t0";0.612048576560148;0.0034138687295453;193.612308039258;316.334871861647;200.415743403026
"26";"Pve_A_15_t1";0.594067360763949;0.00974326026055181;186.849354639015;314.525535283968;203.212470548768
"27";"Pve_A_15_t2";0.579580210220949;0;201.784066129511;348.155548742057;201.784066129511
"28";"Pve_A_15_t3";0.623024990301617;0.000519104413347181;183.331986195528;294.261047388764;184.572026303131
"29";"Pve_A_2_t0";0.630112943127148;0;215.255606721516;341.614323383419;215.255606721516
"30";"Pve_A_2_t1";0.525117764571074;0.00862829180641246;165.834155067943;315.803742048984;180.379378177854
"31";"Pve_A_2_t2";0.6074318510103;0.00255242058941482;168.366859249991;277.178187100262;173.010137348047
"32";"Pve_A_2_t3";0.644220664473681;0;204.655092572605;317.678559317567;204.655092572605
"33";"Pve_A_3_t0";0.569735282599762;0;157.677785877928;276.756224677587;157.677785877928
"34";"Pve_A_3_t1";0.531121298474326;0.00978549250013329;134.904642928546;253.999685789417;147.931458335824
"35";"Pve_A_3_t2";0.628578480535815;0.000948765793461482;143.990239328999;229.07281077497;145.628822309519
"36";"Pve_A_3_t3";0.54181042229137;0.00532569690753746;115.064702126463;212.370780244209;121.6085844705
"37";"Pve_A_4_t0";0.590198334736823;0;210.745953769753;357.076496774135;210.745953769753
"38";"Pve_A_4_t1";0.558710830960039;0;166.151014779486;297.382842022209;166.151014779486
"39";"Pve_A_4_t2";0.533864704778929;0.00614034197469389;144.399205150071;270.479025598567;153.777587099349
"40";"Pve_A_4_t3";0.615204171378364;0.00546991974212884;164.296207573862;267.059644939917;172.879027872936
"41";"Pve_A_5_t0";0.634333368666055;0.000602809768862759;221.004512834903;348.40436236179;222.682454758062
"42";"Pve_A_5_t1";0.495487536528902;0.00404372181233767;65.935147390748;133.071253119002;69.1382124678879
"43";"Pve_A_5_t2";0.6353761737944;0.00203132146939491;189.711091550931;298.580745352783;193.847770695361
"44";"Pve_A_5_t3";0.527680307486062;0.00363424167258359;87.9684629230669;166.707875346268;91.6680922270564
"45";"Pve_A_6_t0";0.554024756003618;0;187.847974857033;339.060615651996;187.847974857033
"46";"Pve_A_6_t1";0.602031712629943;0;208.850046276781;346.908712440463;208.850046276781
"47";"Pve_A_6_t2";0.619138740050948;0;210.398906815677;339.825136444157;210.398906815677
"48";"Pve_A_6_t3";0.637063552340123;0;219.506210881185;344.559361581547;219.506210881185
"49";"Pve_A_7_t0";0.542363375932493;0;201.976430828415;372.400570892447;201.976430828415
"50";"Pve_A_7_t1";0.559274973522771;6.0262393123823e-05;140.953483726798;252.028948906756;141.107508129196
"51";"Pve_A_7_t2";0.528350117393456;0;192.803142282048;364.915490571321;192.803142282048
"52";"Pve_A_7_t3";0.542934368156484;0.00382519242913692;173.803387390485;320.118595513909;181.255479386892
"53";"Pve_A_8_t0";0.582325820329647;0;159.274251244324;273.513977371226;159.274251244324
"54";"Pve_A_8_t1";0.568699768144745;0.00390011764066046;163.900627346681;288.202381163914;170.76877305311
"55";"Pve_A_8_t2";0.582217964852334;5.49468116654389e-05;151.980553329642;261.037210296642;152.127904347018
"56";"Pve_A_8_t3";0.563756337762748;0;182.502658429693;323.726131672329;182.502658429693
"57";"Pve_A_9_t0";0.672378066570383;0;277.557755178379;412.800132809396;277.557755178379
"58";"Pve_A_9_t1";0.630166596740417;0.00235172165374357;237.860719027873;377.456882446999;243.785469861
"59";"Pve_A_9_t2";0.590964381861591;0;246.757959513599;417.551323036237;246.757959513599
"60";"Pve_A_9_t3";0.585183884633403;0.00541872590626343;168.681528640719;288.253885778813;177.801971525247
"61";"Pve_B_1_t0";0.466207230264131;0;158.26365266102;339.470609607139;158.26365266102
"62";"Pve_B_1_t1";0.667702515969018;0;227.506261901521;340.729975491177;227.506261901521
"63";"Pve_B_1_t2";0.506843311282052;0;86.7386834689237;171.135105343542;86.7386834689237
"64";"Pve_B_1_t3";0.574053795839106;0;158.861703533931;276.736613685691;158.861703533931
"65";"Pve_B_10_t0";0.498111514472981;0;156.826879116239;314.842910793114;156.826879116239
"66";"Pve_B_10_t1";0.656048461689137;0;163.758703974242;249.61373059638;163.758703974242
"67";"Pve_B_10_t2";0.601194271462073;0;179.296252401939;298.233467803842;179.296252401939
"68";"Pve_B_10_t3";0.648739775212132;0;177.453977177362;273.53645322477;177.453977177362
"69";"Pve_B_11_t0";0.528553683062559;0;208.617966869384;394.69589098425;208.617966869384
"70";"Pve_B_11_t1";0.676586814221658;0;186.985088384381;276.365256392837;186.985088384381
"71";"Pve_B_11_t2";0.643533155790668;0;169.904149138013;264.01770850371;169.904149138013
"72";"Pve_B_11_t3";0.628569743494319;0.0002662040934671;169.671427428946;269.932540000598;170.302580864391
"73";"Pve_B_12_t0";0.571385305942801;0.00507963884423895;92.994833536017;162.753281487652;97.8523270193862
"74";"Pve_B_12_t1";0.684976019807164;0.00192360527510492;249.864369529757;364.778272968008;254.736489019793
"75";"Pve_B_12_t2";0.513351568363631;0.00467301602002019;96.9403333238422;188.838097120948;102.106474459702
"76";"Pve_B_12_t3";0.643779926014209;0.00481009555178695;165.029700370315;256.344899400719;172.467861432421
"77";"Pve_B_13_t0";0.482529465367819;0.00502695414142379;79.658512827331;165.085281924928;84.4171580920312
"78";"Pve_B_13_t1";0.500031523957804;0.000247471932161594;104.283582993101;208.554017090133;104.728975471607
"79";"Pve_B_13_t2";0.52279232451048;0.000502492293344938;144.795815625201;276.966223176251;145.906179200311
"80";"Pve_B_13_t3";0.584040161368356;0;229.304704835474;392.618042393237;229.304704835474
"81";"Pve_B_14_t0";0.494003181124171;0.00125288863642432;93.2520624553956;188.768141620441;94.917173531068
"82";"Pve_B_14_t1";0.566782996947318;0.0044430336887343;152.171459258726;268.482752796605;159.315459468963
"83";"Pve_B_14_t2";0.569802797607623;0.00635646406580233;97.5240394044126;171.154019976521;103.696646525629
"84";"Pve_B_14_t3";0.541704098617697;0.0130234576052683;82.1546443020612;151.659632097488;92.0708335734303
"85";"Pve_B_15_t0";0.484882532879962;0.000905754119708436;112.406181296395;231.821469477893;113.946042220796
"86";"Pve_B_15_t1";0.520065598585876;0.00569059056741328;77.3440762436451;148.719846984599;82.1601718421942
"87";"Pve_B_15_t2";0.548132277348386;0;114.193922454013;208.33278238317;114.193922454013
"88";"Pve_B_15_t3";0.584321926477895;0;158.506284336149;271.26533705756;158.506284336149
"89";"Pve_B_2_t0";0.516506478263889;0;116.41574650593;225.390680281946;116.41574650593
"90";"Pve_B_2_t1";0.674399585044574;0;208.397736836692;309.012255431501;208.397736836692
"91";"Pve_B_2_t2";0.584367062486305;0.00432714830855316;116.003242158737;198.510918232076;121.191956001476
"92";"Pve_B_2_t3";0.567629277102424;0.0016147210862903;135.612617993437;238.910541552223;138.286483528017
"93";"Pve_B_3_t0";0.633800463438795;0;248.110209434518;391.4642284866;248.110209434518
"94";"Pve_B_3_t1";0.362014648423074;0.0241563888015863;85.789212141121;236.977184527799;110.10562215326
"95";"Pve_B_3_t2";0.524976810158671;0.00693866023564635;64.8979470671469;123.620597731797;69.6373013660679
"96";"Pve_B_3_t3";0.577567846757425;0;98.4001755402289;170.369898692709;98.4001755402289
"97";"Pve_B_4_t0";0.547424847812086;0.000172455264623118;98.4574839093241;179.855708601524;98.7389932416085
"98";"Pve_B_4_t1";0.632755280276342;0;210.394634447897;332.505537300315;210.394634447897
"99";"Pve_B_4_t2";0.534734353751032;0.00654511974803423;84.0658344584435;157.210461360378;89.8200196297309
"100";"Pve_B_4_t3";0.620146949929791;0;219.079853037324;353.270870818807;219.079853037324
"101";"Pve_B_5_t0";0.558133474913858;0;157.322755363129;281.87299711312;157.322755363129
"102";"Pve_B_5_t1";0.604913724755006;0.000460449991382778;171.793383008091;283.996503927347;172.86652134386
"103";"Pve_B_5_t2";0.61405519869604;0.00476269859663474;170.459649250083;277.596622603405;178.390315804703
"104";"Pve_B_5_t3";0.597217275482962;0;165.28876272122;276.76487185933;165.28876272122
"105";"Pve_B_6_t0";0.54405976245767;0;219.859156447886;404.108466788136;219.859156447886
"106";"Pve_B_6_t1";0.570501137595475;0;214.019247417307;375.142542781505;214.019247417307
"107";"Pve_B_6_t2";0.578229617453525;0;167.505951671421;289.687602667437;167.505951671421
"108";"Pve_B_6_t3";0.616627870844307;0;194.238179492468;315.000648975712;194.238179492468
"109";"Pve_B_7_t0";0.524889299870907;0;170.016681868174;323.909597528448;170.016681868174
"110";"Pve_B_7_t1";0.460078266436238;0.000452912629327587;95.2355888431742;206.998669119644;95.9813819857549
"111";"Pve_B_7_t2";0.5152074723583;0.00314814904638779;78.3194150387567;152.015293334662;81.2941600533348
"112";"Pve_B_7_t3";0.562094694936824;0.00269453166622824;90.6664224497715;161.300975203052;93.4655536280925
