conc;tank;volume;measurement;date;days;polymer;count
1;8;100;3;07.05.2021;8;PS;0
1;13;100;1;07.05.2021;8;PA;0
1;13;100;2;07.05.2021;8;PA;0
1;13;100;3;07.05.2021;8;PA;0
1;13;100;1;07.05.2021;8;PP;0
1;13;100;2;07.05.2021;8;PP;0
1;13;100;3;07.05.2021;8;PP;0
1;13;100;1;07.05.2021;8;PET;0
1;13;100;2;07.05.2021;8;PET;0
1;13;100;3;07.05.2021;8;PET;1
1;13;100;1;07.05.2021;8;PE;1
1;13;100;2;07.05.2021;8;PE;0
1;13;100;3;07.05.2021;8;PE;0
1;13;100;1;07.05.2021;8;PVC;0
1;13;100;2;07.05.2021;8;PVC;0
1;13;100;3;07.05.2021;8;PVC;0
1;13;100;1;07.05.2021;8;PS;0
1;13;100;2;07.05.2021;8;PS;0
1;13;100;3;07.05.2021;8;PS;0
10;4;100;1;07.05.2021;8;PA;0
10;4;100;2;07.05.2021;8;PA;5
10;4;100;3;07.05.2021;8;PA;1
10;4;100;1;07.05.2021;8;PP;8
10;4;100;2;07.05.2021;8;PP;120
10;4;100;3;07.05.2021;8;PP;3
10;4;100;1;07.05.2021;8;PET;20
10;4;100;2;07.05.2021;8;PET;70
10;4;100;3;07.05.2021;8;PET;6
10;4;100;1;07.05.2021;8;PE;0
10;4;100;2;07.05.2021;8;PE;23
10;4;100;3;07.05.2021;8;PE;0
10;4;100;1;07.05.2021;8;PVC;0
10;4;100;2;07.05.2021;8;PVC;0
10;4;100;3;07.05.2021;8;PVC;1
10;4;100;1;07.05.2021;8;PS;0
10;4;100;2;07.05.2021;8;PS;7
10;4;100;3;07.05.2021;8;PS;0
10;9;100;1;07.05.2021;8;PA;0
10;9;100;2;07.05.2021;8;PA;0
10;9;100;3;07.05.2021;8;PA;1
10;9;100;1;07.05.2021;8;PP;1
10;9;100;2;07.05.2021;8;PP;2
10;9;100;3;07.05.2021;8;PP;10
10;9;100;1;07.05.2021;8;PET;7
10;9;100;2;07.05.2021;8;PET;0
10;9;100;3;07.05.2021;8;PET;20
10;9;100;1;07.05.2021;8;PE;4
10;9;100;2;07.05.2021;8;PE;1
10;9;100;3;07.05.2021;8;PE;3
10;9;100;1;07.05.2021;8;PVC;0
10;9;100;2;07.05.2021;8;PVC;0
10;9;100;3;07.05.2021;8;PVC;0
10;9;100;1;07.05.2021;8;PS;0
10;9;100;2;07.05.2021;8;PS;0
10;9;100;3;07.05.2021;8;PS;0
10;14;100;1;07.05.2021;8;PA;0
10;14;100;2;07.05.2021;8;PA;0
10;14;100;3;07.05.2021;8;PA;0
10;14;100;1;07.05.2021;8;PP;1
10;14;100;2;07.05.2021;8;PP;5
10;14;100;3;07.05.2021;8;PP;3
