Fragment;Spec;Colony;tank;treatment;t0;t1;t2;t3;t0-t1;t1-t2;t2-t3;t0-t3
Spi_D_14;Spi;D;14;10;24.04.2021;30.05.2021;28.06.2021;26.07.2021;36; 29 ;28;93
Spi_D_15;Spi;D;15;100;24.04.2021;30.05.2021;28.06.2021;26.07.2021;36; 29 ;28;93
Spi_E_1;Spi;E;1;0;24.04.2021;29.05.2021;27.06.2021;29.07.2021;35; 29 ;32;96
Spi_E_2;Spi;E;2;0.1;24.04.2021;29.05.2021;27.06.2021;29.07.2021;35; 29 ;32;96
Spi_E_3;Spi;E;3;1;24.04.2021;29.05.2021;27.06.2021;29.07.2021;35; 29 ;32;96
Spi_E_4;Spi;E;4;10;24.04.2021;29.05.2021;27.06.2021;29.07.2021;35; 29 ;32;96
Spi_E_5;Spi;E;5;100;24.04.2021;29.05.2021;27.06.2021;29.07.2021;35; 29 ;32;96
Spi_E_6;Spi;E;6;0;25.04.2021;30.05.2021;27.06.2021;28.07.2021;35; 28 ;31;94
Spi_E_7;Spi;E;7;0.1;25.04.2021;30.05.2021;27.06.2021;28.07.2021;35; 28 ;31;94
Spi_E_8;Spi;E;8;1;25.04.2021;30.05.2021;27.06.2021;28.07.2021;35; 28 ;31;94
Spi_E_9;Spi;E;9;10;25.04.2021;30.05.2021;27.06.2021;28.07.2021;35; 28 ;31;94
Spi_E_10;Spi;E;10;100;25.04.2021;30.05.2021;27.06.2021;28.07.2021;35; 28 ;31;94
Spi_E_11;Spi;E;11;0;28.04.2021;01.06.2021;28.06.2021;28.07.2021;34; 27 ;30;91
Spi_E_12;Spi;E;12;0.1;28.04.2021;01.06.2021;28.06.2021;28.07.2021;34; 27 ;30;91
Spi_E_13;Spi;E;13;1;24.04.2021;31.05.2021;28.06.2021;28.07.2021;37; 28 ;30;95
Spi_E_14;Spi;E;14;10;24.04.2021;31.05.2021;28.06.2021;28.07.2021;37; 28 ;30;95
Spi_E_15;Spi;E;15;100;24.04.2021;31.05.2021;28.06.2021;28.07.2021;37; 28 ;30;95
Spi_F_1;Spi;F;1;0;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Spi_F_2;Spi;F;2;0.1;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Spi_F_3;Spi;F;3;1;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Spi_F_4;Spi;F;4;10;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Spi_F_5;Spi;F;5;100;27.04.2021;31.05.2021;29.06.2021;29.07.2021;34; 29 ;30;93
Spi_F_6;Spi;F;6;0;25.04.2021;30.05.2021;28.06.2021;28.07.2021;35; 29 ;30;94
Spi_F_7;Spi;F;7;0.1;25.04.2021;30.05.2021;28.06.2021;28.07.2021;35; 29 ;30;94
Spi_F_8;Spi;F;8;1;25.04.2021;30.05.2021;28.06.2021;28.07.2021;35; 29 ;30;94
Spi_F_9;Spi;F;9;10;25.04.2021;30.05.2021;28.06.2021;28.07.2021;35; 29 ;30;94
Spi_F_10;Spi;F;10;100;25.04.2021;30.05.2021;28.06.2021;28.07.2021;35; 29 ;30;94
Spi_F_11;Spi;F;11;0;28.04.2021;01.06.2021;28.06.2021;28.07.2021;34; 27 ;30;91
Spi_F_12;Spi;F;12;0.1;28.04.2021;01.06.2021;28.06.2021;28.07.2021;34; 27 ;30;91
Spi_F_13;Spi;F;13;1;24.04.2021;31.05.2021;28.06.2021;28.07.2021;37; 28 ;30;95
Spi_F_14;Spi;F;14;10;24.04.2021;31.05.2021;28.06.2021;28.07.2021;37; 28 ;30;95
Spi_F_15;Spi;F;15;100;24.04.2021;31.05.2021;28.06.2021;28.07.2021;37; 28 ;30;95
Pve_A_1;Pve;A;1;0;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_2;Pve;A;2;0.1;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_3;Pve;A;3;1;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_4;Pve;A;4;10;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_5;Pve;A;5;100;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_6;Pve;A;6;0;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_7;Pve;A;7;0.1;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_8;Pve;A;8;1;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_9;Pve;A;9;10;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_10;Pve;A;10;100;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_11;Pve;A;11;0;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_12;Pve;A;12;0.1;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_13;Pve;A;13;1;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_14;Pve;A;14;10;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_A_15;Pve;A;15;100;25.04.2021;29.05.2021;26.06.2021;25.07.2021;34; 28 ;29;91
Pve_B_1;Pve;B;1;0;25.04.2021;29.05.2021;29.06.2021;27.07.2021;34; 31 ;28;93
Pve_B_2;Pve;B;2;0.1;25.04.2021;29.05.2021;29.06.2021;27.07.2021;34; 31 ;28;93
Pve_B_3;Pve;B;3;1;25.04.2021;29.05.2021;29.06.2021;27.07.2021;34; 31 ;28;93
Pve_B_4;Pve;B;4;10;25.04.2021;29.05.2021;29.06.2021;27.07.2021;34; 31 ;28;93
Pve_B_5;Pve;B;5;100;25.04.2021;29.05.2021;29.06.2021;27.07.2021;34; 31 ;28;93
Pve_B_6;Pve;B;6;0;25.04.2021;30.05.2021;30.06.2021;25.07.2021;35; 31 ;25;91
Pve_B_7;Pve;B;7;0.1;25.04.2021;30.05.2021;30.06.2021;25.07.2021;35; 31 ;25;91
Pve_B_8;Pve;B;8;1;25.04.2021;30.05.2021;30.06.2021;25.07.2021;35; 31 ;25;91
Pve_B_9;Pve;B;9;10;25.04.2021;30.05.2021;30.06.2021;25.07.2021;35; 31 ;25;91
Pve_B_10;Pve;B;10;100;25.04.2021;30.05.2021;30.06.2021;25.07.2021;35; 31 ;25;91
Pve_B_11;Pve;B;11;0;25.04.2021;30.05.2021;29.06.2021;26.07.2021;35; 30 ;27;92
Pve_B_12;Pve;B;12;0.1;25.04.2021;30.05.2021;29.06.2021;26.07.2021;35; 30 ;27;92
Pve_B_13;Pve;B;13;1;25.04.2021;30.05.2021;29.06.2021;26.07.2021;35; 30 ;27;92
Pve_B_14;Pve;B;14;10;25.04.2021;30.05.2021;29.06.2021;26.07.2021;35; 30 ;27;92
Pve_B_15;Pve;B;15;100;25.04.2021;30.05.2021;29.06.2021;26.07.2021;35; 30 ;27;92
Pve_C_1;Pve;C;1;0;26.04.2021;31.05.2021;29.06.2021;27.07.2021;35; 29 ;28;92
Pve_C_2;Pve;C;2;0.1;26.04.2021;31.05.2021;29.06.2021;27.07.2021;35; 29 ;28;92
Pve_C_3;Pve;C;3;1;26.04.2021;31.05.2021;29.06.2021;27.07.2021;35; 29 ;28;92
Pve_C_4;Pve;C;4;10;26.04.2021;31.05.2021;29.06.2021;27.07.2021;35; 29 ;28;92
Pve_C_5;Pve;C;5;100;26.04.2021;31.05.2021;29.06.2021;27.07.2021;35; 29 ;28;92
Pve_C_6;Pve;C;6;0;26.04.2021;01.06.2021;30.06.2021;25.07.2021;36; 29 ;25;90
Pve_C_7;Pve;C;7;0.1;26.04.2021;01.06.2021;30.06.2021;25.07.2021;36; 29 ;25;90
Pve_C_8;Pve;C;8;1;26.04.2021;01.06.2021;30.06.2021;25.07.2021;36; 29 ;25;90
Pve_C_9;Pve;C;9;10;26.04.2021;01.06.2021;30.06.2021;25.07.2021;36; 29 ;25;90
Pve_C_10;Pve;C;10;100;26.04.2021;01.06.2021;30.06.2021;25.07.2021;36; 29 ;25;90
Pve_C_11;Pve;C;11;0;26.04.2021;31.05.2021;29.06.2021;28.07.2021;35; 29 ;29;93
Pve_C_12;Pve;C;12;0.1;26.04.2021;31.05.2021;29.06.2021;28.07.2021;35; 29 ;29;93
Pve_C_13;Pve;C;13;1;25.04.2021;31.05.2021;29.06.2021;28.07.2021;36; 29 ;29;94
Pve_C_14;Pve;C;14;10;25.04.2021;31.05.2021;29.06.2021;28.07.2021;36; 29 ;29;94
Pve_C_15;Pve;C;15;100;25.04.2021;31.05.2021;29.06.2021;28.07.2021;36; 29 ;29;94
Pve_D_1;Pve;D;1;0;27.04.2021;31.05.2021;30.06.2021;29.07.2021;34; 30 ;29;93
