Filename	Surface	Volume	Vertices	Edges	Faces
t0_Pve_A_1	1074.130371	2528.893311	33226	99672	
t0_Pve_A_10	1312.388306	3068.869385	40098	120288	
t0_Pve_A_11	1383.779663	3150.744629	39707	119115	
t0_Pve_A_12	1479.575317	2903.871582	47977	143925	
t0_Pve_A_13	1166.571411	2557.730957	37103	111303	
t0_Pve_A_14	1293.505249	3031.229492	36570	109710	
t0_Pve_A_15	1390.928589	3127.829102	40080	120234	
t0_Pve_A_2	942.475525	2009.677979	28011	84027	
t0_Pve_A_3	1116.107056	2685.273682	33946	101832	
t0_Pve_A_4	1205.444214	2630.488770	35723	107163	
t0_Pve_A_5	1141.650391	2194.370117	35667	106995	
t0_Pve_A_6	1363.338989	3186.248535	42741	128217	
t0_Pve_A_7	1378.912476	3402.604980	40485	121449	
t0_Pve_A_8	1068.581299	2414.976318	32736	98202	
t0_Pve_A_9	1502.793457	3799.529541	47168	141498	
t0_Pve_B_1	1277.305176	1772.085327	38933	116793	
t0_Pve_B_10	909.264038	1150.378540	28612	85830	
t0_Pve_B_11	1226.387451	1659.686035	35631	106887	
t0_Pve_B_12	1297.153687	1871.951416	40661	121977	
t0_Pve_B_13	1150.424805	1610.993896	35134	105396	
t0_Pve_B_14	1346.145264	1755.097900	43183	129543	
t0_Pve_B_15	1228.135742	1494.088867	36736	110202	
t0_Pve_B_2	1456.944702	1997.948975	45632	136890	
t0_Pve_B_3	1459.148926	2095.070801	44483	133443	
t0_Pve_B_4	1245.356812	2018.551514	38579	115731	
t0_Pve_B_5	993.088562	1502.428345	29832	89490	
t0_Pve_B_6	838.864075	1208.695801	25628	76878	
t0_Pve_B_7	1298.652466	1923.695923	39707	119115	
t0_Pve_B_8	1042.543579	1353.788574	32172	96510	
t0_Pve_B_9	938.381226	1267.832275	29980	89934	
t0_Pve_C_1	1638.156738	3241.368652	52020	156054	104036
t0_Pve_C_10	991.334351	2023.160645	32040	96114	
t0_Pve_C_11	1180.239136	2643.621094	37808	113418	
