Filename	Surface	Volume	Vertices	Edges	Faces
t1_Pve_A_1	1092.542847	2550.889160	34525	103569	
t1_Pve_A_10	1343.388794	3051.502930	42934	128796	
t1_Pve_A_11	1483.435669	3226.588623	47987	143955	
t1_Pve_A_12	1604.501221	3335.986328	50603	151803	101202
t1_Pve_A_13	1223.980347	2669.942627	39954	119856	
t1_Pve_A_14	1272.424927	2937.657227	38524	115566	
t1_Pve_A_15	1591.404297	3526.053955	47356	142062	
t1_Pve_A_2	946.542419	1984.125366	30239	90711	
t1_Pve_A_3	1127.842163	2709.746338	35219	105651	
t1_Pve_A_4	1250.192993	2810.167236	38498	115488	
t1_Pve_A_5	1141.373047	2296.719727	37095	111279	
t1_Pve_A_6	1394.691406	3347.674561	45270	135804	
t1_Pve_A_7	1388.428589	3406.448730	42328	126978	
t1_Pve_A_8	1104.053345	2508.893066	34345	103029	
t1_Pve_A_9	1557.982056	3915.507080	48210	144624	
t1_Pve_B_1	1411.682617	1952.263306	41967	125895	
t1_Pve_B_10	909.925659	1173.536865	28728	86178	
t1_Pve_B_11	1456.898438	1884.313599	43572	130710	
t1_Pve_B_12	1435.783081	2095.781006	44952	134850	
t1_Pve_B_13	1254.424561	1757.746948	38156	114462	
t1_Pve_B_14	1404.029175	1922.999512	42851	128547	
t1_Pve_B_15	1381.039551	1704.161133	40148	120438	
t1_Pve_B_2	1427.680176	2020.276367	44512	133530	
t1_Pve_B_3	1526.152832	2184.601318	46974	140916	
t1_Pve_B_4	1311.027588	2066.701660	40779	122337	
t1_Pve_B_5	940.959961	1393.206177	28925	86769	
t1_Pve_B_6	932.153259	1266.602295	29854	89556	
t1_Pve_B_7	1304.639404	2003.281250	40285	120849	
t1_Pve_B_8	1127.470947	1459.834106	34875	104619	
t1_Pve_B_9	1020.894409	1397.151733	32403	97203	
t1_Pve_C_1	1780.583252	3547.866455	57368	172098	114732
t1_Pve_C_10	1023.771179	2142.402832	31140	93414	
t1_Pve_C_11	1243.148193	2735.838379	38784	116346	
t1_Pve_C_12	1913.059814	4742.660156	61700	185094	123396
t1_Pve_C_13	1163.102905	2416.528809	35654	106956	
t1_Pve_C_14	2124.752441	6153.956055	68164	204486	136324
t1_Pve_C_15	2193.693115	5388.074707	70621	211857	141238
t1_Pve_C_2	1787.073730	4195.296387	58300	174894	116596
t1_Pve_C_3	2085.985840	4715.287598	66173	198513	132342
t1_Pve_C_4	1459.321533	2714.431641	46055	138159	
t1_Pve_C_5	1642.104004	3620.336182	52633	157893	105262
t1_Pve_C_6	1223.317139	2462.279785	38681	116037	
t1_Pve_C_7	1264.142212	2898.408936	38943	116823	
t1_Pve_C_8	1079.763428	2320.225830	34522	103560	
t1_Pve_C_9	1382.504639	2976.884521	43040	129114	
t1_Pve_D_1	1158.865967	1671.464600	37467	112395	
t1_Pve_D_10	1146.179321	1725.300781	35538	106608	
t1_Pve_D_11	978.348999	1329.148560	30295	90879	
t1_Pve_D_12	817.262817	1092.948608	25855	77559	
t1_Pve_D_13	595.583313	743.512268	19363	58083	
t1_Pve_D_14	579.025574	782.159302	18419	55251	
t1_Pve_D_15	660.736328	855.838257	21138	63408	
t1_Pve_D_2	1362.406006	2354.435303	41776	125322	
t1_Pve_D_3	1149.068848	1409.109375	36699	110091	
t1_Pve_D_4	895.670227	1236.040894	27137	81405	
t1_Pve_D_5	1434.906616	2083.268066	45876	137622	
t1_Pve_D_6	1018.252991	1408.931885	32325	96969	
t1_Pve_D_7	1127.782471	1502.212646	35232	105690	
t1_Pve_D_8	790.902344	961.112183	25287	75855	
t1_Pve_D_9	895.120422	1295.653320	27954	83856	
t1_Pve_E_1	667.284729	997.283875	21619	64851	
t1_Pve_E_10	601.097595	801.683167	19260	57774	
t1_Pve_E_11	1141.751587	1846.599854	35918	107748	
t1_Pve_E_12	1152.248047	1888.093140	35382	106140	
t1_Pve_E_13	962.431458	1361.858765	30602	91800	
t1_Pve_E_14	838.954102	1245.835205	26066	78192	
t1_Pve_E_15	800.713501	1075.438721	24948	74838	
t1_Pve_E_2	718.508484	979.879944	21809	65421	
t1_Pve_E_3	639.762817	945.484253	20825	62469	
t1_Pve_E_4	972.008240	1708.145142	31386	94152	
t1_Pve_E_5	759.083679	1112.714111	24292	72870	
t1_Pve_E_6	873.323120	1169.930420	28727	86175	
t1_Pve_E_7	423.994598	472.315186	13459	40371	
t1_Pve_E_8	714.795044	1000.038269	22423	67263	
t1_Pve_E_9	803.117920	1156.962891	25115	75339	
t1_Pve_F_1	1501.022827	1313.325195	45392	136170	
t1_Pve_F_10	996.262207	907.172729	30347	91035	
t1_Pve_F_11	986.552368	966.592834	29837	89505	
t1_Pve_F_12	530.156006	467.386444	16201	48597	
t1_Pve_F_13	871.873901	808.172119	27459	82371	
t1_Pve_F_14	1366.456665	1358.805908	40692	122076	
t1_Pve_F_15	855.316223	806.970276	25922	77760	
t1_Pve_F_2	1426.043213	1244.203491	40494	121488	
t1_Pve_F_3	854.651611	714.675842	25627	76875	
t1_Pve_F_4	924.275757	901.442749	27623	82863	
t1_Pve_F_5	996.185547	918.198730	31244	93726	
t1_Pve_F_6	810.291931	760.852417	25160	75474	
t1_Pve_F_7	864.578308	809.716492	25931	77787	
t1_Pve_F_8	667.422119	656.668152	19969	59901	
t1_Pve_F_9	729.030640	617.984619	22686	68052	
t1_Spi_A_1	1647.483398	2448.222900	53323	159963	106642
t1_Spi_A_10	1156.171387	1647.732178	38498	115488	
t1_Spi_A_11	1670.853271	2443.263672	55465	166389	110926
t1_Spi_A_12	1404.288696	1993.957886	45818	137448	
t1_Spi_A_13	1672.561768	2437.458008	54202	162600	108400
t1_Spi_A_14	1689.672974	2475.225830	54438	163308	108872
t1_Spi_A_15	1655.163940	2462.698730	52271	156807	104538
t1_Spi_A_2	1561.575317	2394.163574	51716	155142	103428
t1_Spi_A_3	1462.771973	1931.716309	47718	143148	
