conc;tank;volume;measurement;date;days;polymer;count
1;3;50;1;30.04.2021;1;PVC;0
1;3;50;2;30.04.2021;1;PVC;0
1;3;50;3;30.04.2021;1;PVC;0
1;3;50;1;30.04.2021;1;PS;0
1;3;50;2;30.04.2021;1;PS;0
1;3;50;3;30.04.2021;1;PS;0
1;8;50;1;30.04.2021;1;PA;0
1;8;50;2;30.04.2021;1;PA;0
1;8;50;3;30.04.2021;1;PA;0
1;8;50;1;30.04.2021;1;PP;1
1;8;50;2;30.04.2021;1;PP;3
1;8;50;3;30.04.2021;1;PP;0
1;8;50;1;30.04.2021;1;PET;4
1;8;50;2;30.04.2021;1;PET;2
1;8;50;3;30.04.2021;1;PET;1
1;8;50;1;30.04.2021;1;PE;1
1;8;50;2;30.04.2021;1;PE;0
1;8;50;3;30.04.2021;1;PE;0
1;8;50;1;30.04.2021;1;PVC;0
1;8;50;2;30.04.2021;1;PVC;0
1;8;50;3;30.04.2021;1;PVC;0
1;8;50;1;30.04.2021;1;PS;1
1;8;50;2;30.04.2021;1;PS;0
1;8;50;3;30.04.2021;1;PS;0
1;13;50;1;30.04.2021;1;PA;0
1;13;50;2;30.04.2021;1;PA;0
1;13;50;3;30.04.2021;1;PA;0
1;13;50;1;30.04.2021;1;PP;1
1;13;50;2;30.04.2021;1;PP;1
1;13;50;3;30.04.2021;1;PP;0
1;13;50;1;30.04.2021;1;PET;0
1;13;50;2;30.04.2021;1;PET;0
1;13;50;3;30.04.2021;1;PET;1
1;13;50;1;30.04.2021;1;PE;0
1;13;50;2;30.04.2021;1;PE;0
1;13;50;3;30.04.2021;1;PE;0
1;13;50;1;30.04.2021;1;PVC;0
1;13;50;2;30.04.2021;1;PVC;0
1;13;50;3;30.04.2021;1;PVC;1
1;13;50;1;30.04.2021;1;PS;0
1;13;50;2;30.04.2021;1;PS;0
1;13;50;3;30.04.2021;1;PS;0
10;4;50;1;30.04.2021;1;PA;2
10;4;50;2;30.04.2021;1;PA;1
10;4;50;3;30.04.2021;1;PA;1
10;4;50;1;30.04.2021;1;PP;0
10;4;50;2;30.04.2021;1;PP;4
10;4;50;3;30.04.2021;1;PP;3
10;4;50;1;30.04.2021;1;PET;6
10;4;50;2;30.04.2021;1;PET;0
10;4;50;3;30.04.2021;1;PET;0
10;4;50;1;30.04.2021;1;PE;1
10;4;50;2;30.04.2021;1;PE;1
10;4;50;3;30.04.2021;1;PE;3
10;4;50;1;30.04.2021;1;PVC;1
10;4;50;2;30.04.2021;1;PVC;1
10;4;50;3;30.04.2021;1;PVC;0
10;4;50;1;30.04.2021;1;PS;0
10;4;50;2;30.04.2021;1;PS;0
10;4;50;3;30.04.2021;1;PS;0
10;9;50;1;30.04.2021;1;PA;1
10;9;50;2;30.04.2021;1;PA;2
10;9;50;3;30.04.2021;1;PA;1
10;9;50;1;30.04.2021;1;PP;0
10;9;50;2;30.04.2021;1;PP;1
10;9;50;3;30.04.2021;1;PP;3
10;9;50;1;30.04.2021;1;PET;2
10;9;50;2;30.04.2021;1;PET;1
10;9;50;3;30.04.2021;1;PET;0
10;9;50;1;30.04.2021;1;PE;5
10;9;50;2;30.04.2021;1;PE;0
10;9;50;3;30.04.2021;1;PE;0
10;9;50;1;30.04.2021;1;PVC;0
10;9;50;2;30.04.2021;1;PVC;0
10;9;50;3;30.04.2021;1;PVC;0
10;9;50;1;30.04.2021;1;PS;0
10;9;50;2;30.04.2021;1;PS;0
10;9;50;3;30.04.2021;1;PS;0
10;14;50;1;30.04.2021;1;PA;0
10;14;50;2;30.04.2021;1;PA;1
10;14;50;3;30.04.2021;1;PA;0
10;14;50;1;30.04.2021;1;PP;1
10;14;50;2;30.04.2021;1;PP;1
10;14;50;3;30.04.2021;1;PP;3
10;14;50;1;30.04.2021;1;PET;1
10;14;50;2;30.04.2021;1;PET;0
10;14;50;3;30.04.2021;1;PET;1
10;14;50;1;30.04.2021;1;PE;1
10;14;50;2;30.04.2021;1;PE;0
10;14;50;3;30.04.2021;1;PE;0
10;14;50;1;30.04.2021;1;PVC;0
10;14;50;2;30.04.2021;1;PVC;2
10;14;50;3;30.04.2021;1;PVC;0
10;14;50;1;30.04.2021;1;PS;0
10;14;50;2;30.04.2021;1;PS;0
10;14;50;3;30.04.2021;1;PS;0
100;5;50;1;30.04.2021;1;PA;0
100;5;50;2;30.04.2021;1;PA;0
100;5;50;3;30.04.2021;1;PA;0
100;5;50;1;30.04.2021;1;PP;3
100;5;50;2;30.04.2021;1;PP;7
