Polymer;Form;Count;Length;Width
PP;Fibers;49;341,33;35,58
PP;Fibers;50;840,42;28,2
PP;Fibers;51;1008,88;40,39
PP;Fibers;52;299,95;27,65
PP;Fibers;53;591,38;31,09
PP;Fibers;54;146,37;26,68
PP;Fibers;55;731,82;36,46
PP;Fibers;56;338,43;22,86
PP;Fibers;57;272,9;31,42
PP;Fibers;58;927,85;38,63
PP;Fibers;59;1060,81;59,28
PP;Fibers;60;353,03;48,63
PP;Fibers;61;629,66;41,03
PP;Fibers;62;147,3;39,74
PP;Fibers;63;769,94;46,54
PP;Fibers;64;215,59;35,6
PP;Fibers;65;1065,21;37,37
PP;Fibers;66;1361,28;40,61
PP;Fibers;67;499,98;44,82
PP;Fibers;68;2321,5;37,37
PP;Fibers;69;472,6;39,23
PP;Fibers;70;682,29;37,61
PP;Fibers;71;171,13;24,22
PP;Fibers;72;1239,31;38,1
PP;Fibers;73;388,17;34,9
PP;Fibers;74;137,63;33,95
PP;Fibers;75;455,71;26,31
PP;Fibers;76;1288,2;37,74
PP;Fibers;77;340,99;27,53
PP;Fibers;78;381,49;37,74
PP;Fibers;79;499,85;39,8
PP;Fibers;80;149,92;26,45
PP;Fibers;81;316,48;37,41
PP;Fibers;82;375,91;36,22
PP;Fibers;83;378,15;34,72
PP;Fibers;84;703,34;31,63
PP;Fibers;85;335,11;40,66
PP;Fibers;86;203,85;36,14
PP;Fibers;87;221,91;36,14
PP;Fibers;88;1076,86;35,43
PP;Fibers;89;366,1;34,88
PP;Fibers;90;1502,74;34,75
PP;Fibers;91;319,17;37,81
PP;Fibers;92;680,13;40,77
PP;Fibers;93;818,67;29,2
PP;Fibers;94;625,02;31,42
PP;Fibers;95;1233,83;31,09
PP;Fibers;96;697,31;38,57
PP;Fibers;97;389,33;29,02
PP;Fibers;98;1922,13;36,14
PP;Fibers;99;724,12;33,83
PP;Fibers;100;203,16;34,25
PET;Fibers;1;715,24;8,89
PET;Fibers;2;676,34;11,81
PET;Fibers;3;1304,83;15,44
PET;Fibers;4;667,9;12,49
PET;Fibers;5;1122,44;18,72
PET;Fibers;6;173,03;15,51
PET;Fibers;7;334,28;13,34
PET;Fibers;8;359,78;16,7
PET;Fibers;9;1105,66;13,87
PET;Fibers;10;770,29;14,62
PET;Fibers;11;354,1;14,4
PET;Fibers;12;554,92;10,34
PET;Fibers;13;566,8;17,54
PET;Fibers;14;674,93;16,7
PET;Fibers;15;686,23;16,7
PET;Fibers;16;373,82;17,13
PET;Fibers;17;553,13;18,61
PET;Fibers;18;2080,69;16,78
PET;Fibers;19;810,87;18,61
PET;Fibers;20;914,1;11,8
PET;Fibers;21;443,9;13,79
PET;Fibers;22;585,4;13,16
PET;Fibers;23;607,37;15,81
PET;Fibers;24;271,79;13,16
PET;Fibers;25;806,77;19,61
PET;Fibers;26;695,27;13,16
PET;Fibers;27;678,57;19,61
PET;Fibers;28;446,19;8,77
PET;Fibers;29;916,63;15,81
PET;Fibers;30;2695,94;18,61
PET;Fibers;31;560,06;9,81
PET;Fibers;32;1266,43;13,87
PET;Fibers;33;573,49;13,16
PET;Fibers;34;656,74;14,71
PET;Fibers;35;876,65;12,43
PET;Fibers;36;247,13;14,19
PET;Fibers;37;871,42;14,81
PET;Fibers;38;406,82;14,06
PET;Fibers;39;302,53;12,62
PET;Fibers;40;761,09;13,48
PET;Fibers;41;1460,52;14,04
PET;Fibers;42;1319,68;15,54
PET;Fibers;43;523,64;9,3
PET;Fibers;44;1272,48;14,91
PET;Fibers;45;795,3;11,76
PET;Fibers;46;732,03;18,71
PET;Fibers;47;780,96;16,94
PET;Fibers;48;903,47;11,02
PET;Fibers;49;711,56;14,58
PET;Fibers;50;794,81;17,42
PET;Fibers;51;1261,32;16,43
PET;Fibers;52;906,56;10,13
PET;Fibers;53;2738,06;9,9
PET;Fibers;54;5403,63;14,49
PET;Fibers;55;5410,9;10,25
PET;Fibers;56;937,08;16,2
PET;Fibers;57;5405,46;7,25
PET;Fibers;58;1216,92;16,79
PET;Fibers;59;1680,75;16,2
PET;Fibers;60;1589,1;10,28
PET;Fibers;61;5344,35;19,92
PET;Fibers;62;1427,12;11,02
PET;Fibers;63;593,14;18,75
PET;Fibers;64;4498,7;17,68
PET;Fibers;65;915,01;16,64
PET;Fibers;66;5788,92;15,82
PET;Fibers;67;528,98;12,57
PET;Fibers;68;694,05;8,59
