Filename	Surface	Volume	Vertices	Edges	Faces
t2_Pve_A_1	1146.629639	2658.736084	36955	110859	
t2_Pve_A_10	1388.293213	3279.673340	44810	134424	
t2_Pve_A_11	1581.046631	3601.668701	45266	135792	
t2_Pve_A_12	1803.629028	3861.272705	51605	154809	103206
t2_Pve_A_13	1322.868408	2902.666748	41153	123453	
t2_Pve_A_14	1335.360229	3162.550049	40398	121188	
t2_Pve_A_15	1738.450195	3894.726074	51524	154566	103044
t2_Pve_A_2	977.628906	2015.438965	32125	96369	
t2_Pve_A_3	1154.469604	2773.385742	37928	113784	
t2_Pve_A_4	1324.300781	2969.087891	41031	123087	
t2_Pve_A_5	1170.408325	2335.065430	36313	108933	
t2_Pve_A_6	1477.097656	3571.930176	48405	145209	
t2_Pve_A_7	1449.119385	3556.965576	46216	138642	
t2_Pve_A_8	1218.950806	2764.988770	38013	114033	
t2_Pve_A_9	1661.847412	4229.865234	51121	153357	102238
t2_Pve_B_1	1735.946045	2378.843994	50716	152142	101428
t2_Pve_B_10	1006.003540	1339.309326	30891	92667	
t2_Pve_B_11	1700.618164	2138.404053	50415	151239	100826
t2_Pve_B_12	1679.823975	2401.536865	49692	149070	
t2_Pve_B_13	1425.638428	2044.015869	38650	115944	
t2_Pve_B_14	1517.389893	2085.269043	42635	127899	
t2_Pve_B_15	1382.635986	1695.219116	38677	116025	
t2_Pve_B_2	1520.445068	2281.185303	42290	126864	
t2_Pve_B_3	1729.808594	2556.422363	50338	151008	100672
t2_Pve_B_4	1623.958252	2540.389648	49828	149478	
t2_Pve_B_5	1070.952148	1583.776611	31152	93450	
t2_Pve_B_6	1060.058472	1451.324097	31628	94878	
t2_Pve_B_7	1513.367310	2256.535400	47368	142098	
t2_Pve_B_8	1396.799072	1877.562500	41265	123789	
t2_Pve_B_9	1333.105713	1904.822021	39349	118041	
t2_Pve_C_1	1839.474731	3851.696045	60168	180498	120332
t2_Pve_C_10	1083.348389	2273.394531	33888	101658	
t2_Pve_C_11	1278.977539	2947.741943	38276	114822	
t2_Pve_C_12	2083.679443	5146.550781	65744	197226	131484
t2_Pve_C_13	1203.041748	2594.657959	37725	113169	
t2_Pve_C_14	2174.747559	6669.860352	67336	202002	134668
t2_Pve_C_15	2183.707520	5888.373047	65044	195126	130084
t2_Pve_C_2	1964.005493	4655.842285	57648	172938	115292
t2_Pve_C_3	2135.368408	5042.839844	67018	201048	134032
t2_Pve_C_4	1768.265381	3334.522217	55978	167928	111952
t2_Pve_C_5	1611.034668	3568.284912	51181	153537	102358
t2_Pve_C_6	1328.281494	2765.292480	37263	111783	
t2_Pve_C_7	1407.895142	3293.952393	43964	131886	
t2_Pve_C_8	1287.156616	2762.350830	41635	124899	
t2_Pve_C_9	1621.284668	3542.714111	51438	154308	102872
t2_Pve_D_1	1377.776001	1969.599243	40389	121161	
t2_Pve_D_10	1462.210815	2092.580322	44166	132492	
t2_Pve_D_11	981.664734	1443.355835	28337	85005	
t2_Pve_D_12	869.168274	1190.336548	25918	77748	
t2_Pve_D_13	596.604431	738.975952	18150	54444	
t2_Pve_D_14	679.092224	906.334106	21195	63579	
t2_Pve_D_15	660.927124	841.032776	20188	60558	
t2_Pve_D_2	1684.929321	2551.315186	52204	156606	104404
t2_Pve_D_3	1475.784668	1788.749756	43043	129123	
t2_Pve_D_4	1030.213745	1353.770264	32407	97215	
t2_Pve_D_5	1451.085571	2086.704102	44392	133170	
t2_Pve_D_6	1297.994019	1744.294312	39361	118077	
t2_Pve_D_7	1640.367065	2080.615234	51481	154437	102958
t2_Pve_D_8	1151.976196	1378.714355	33799	101391	
t2_Pve_D_9	1214.919189	1783.418823	35509	106521	
t2_Pve_E_1	740.444580	1094.341675	22795	68379	
t2_Pve_E_10	723.248657	973.832092	23108	69318	
t2_Pve_E_11	1145.181030	1752.641113	35523	106563	
t2_Pve_E_12	1272.236450	2024.125977	40409	121221	
t2_Pve_E_13	1110.949341	1567.804810	35381	106137	
t2_Pve_E_14	889.020569	1389.873047	27266	81792	
t2_Pve_E_15	790.481018	1124.426392	24357	73065	
t2_Pve_E_2	738.475952	994.276001	23945	71829	
t2_Pve_E_3	651.814514	963.478333	20615	61839	
t2_Pve_E_4	990.638794	1764.419189	31676	95022	
t2_Pve_E_5	776.432251	1156.871338	24272	72810	
t2_Pve_E_6	1071.405273	1557.963745	32912	98730	
t2_Pve_E_7	500.466644	592.684326	15807	47415	
t2_Pve_E_8	886.551819	1346.605225	26500	79494	
t2_Pve_E_9	874.524292	1261.521851	27843	83523	
t2_Pve_F_1	1654.003174	2068.610107	40403	121203	
t2_Pve_F_10	976.914795	1015.523193	28264	84786	
t2_Pve_F_11	1168.066650	1217.281982	35119	105351	
t2_Pve_F_12	639.708008	509.503571	20109	60321	
t2_Pve_F_13	936.986328	1039.756348	24987	74955	
t2_Pve_F_14	1470.944580	1406.147705	45415	136245	
t2_Pve_F_15	900.510132	859.553406	26960	80874	
t2_Pve_F_2	1693.890015	1756.239014	45690	137064	
t2_Pve_F_3	965.513550	820.996338	29121	87357	
t2_Pve_F_4	1164.355347	1171.006958	33817	101445	
t2_Pve_F_5	1050.040161	916.021179	32026	96072	
t2_Pve_F_6	905.962646	831.304016	27776	83322	
t2_Pve_F_7	1148.386353	1083.060669	31903	95703	
t2_Pve_F_8	763.711060	761.497742	23242	69732	
t2_Pve_F_9	851.404236	815.747253	24463	73383	
t2_Spi_A_1	1949.981812	2919.934570	63266	189792	126528
t2_Spi_A_10	1341.721802	1812.178833	44604	133806	
t2_Spi_A_11	1948.146484	2888.745605	64274	192816	128544
t2_Spi_A_12	1583.949219	2269.065186	49080	147234	
t2_Spi_A_13	1989.136841	2870.998535	61088	183258	122172
t2_Spi_A_14	2072.442627	3119.663086	64167	192495	128330
t2_Spi_A_15	1782.280884	2527.861328	58706	176112	117408
t2_Spi_A_2	1817.191162	2780.660889	56785	170349	113566
t2_Spi_A_3	1720.149170	2192.031006	54080	162234	108156
t2_Spi_A_4	1841.617310	2632.291504	58128	174378	116252
t2_Spi_A_5	1713.118774	2576.121582	54393	163173	108782
t2_Spi_A_6	1417.908325	2235.484863	45377	136125	
t2_Spi_A_7	1467.578247	1935.506104	47431	142287	
t2_Spi_A_8	1521.255615	2124.280762	47909	143721	
t2_Spi_A_9	1407.140381	1935.009155	45503	136503	
t2_Spi_B_1	807.853760	1100.083252	26189	78561	
t2_Spi_B_10	1023.290039	1460.374512	33025	99069	
t2_Spi_B_11	941.230469	1251.254517	30242	90726	
t2_Spi_B_12	809.683533	1201.466187	26832	80490	
t2_Spi_B_13	820.639221	1083.511963	25707	77115	
t2_Spi_B_14	767.016174	1208.789795	24405	73209	
t2_Spi_B_15	540.760986	709.346863	16942	50820	
t2_Spi_B_2	859.412170	1255.977539	27246	81732	
t2_Spi_B_3	557.241577	753.314209	17770	53304	
t2_Spi_B_4	818.930298	1187.883301	25229	75681	
t2_Spi_B_5	659.035461	838.181091	21137	63405	
t2_Spi_B_6	1251.048218	1756.938843	40347	121035	
t2_Spi_B_7	1000.593018	1382.635864	32350	97044	
t2_Spi_B_8	624.309387	789.860657	19957	59865	
t2_Spi_B_9	804.674622	1080.130005	25572	76710	
t2_Spi_C_1	1769.488525	3347.291504	56366	169092	112728
t2_Spi_C_10	1050.396240	1705.500366	33277	99825	
t2_Spi_C_11	1274.469116	2214.968506	41155	123459	
t2_Spi_C_12	1288.898071	2305.845459	37115	111339	
t2_Spi_C_13	1307.881226	2283.841553	41500	124494	
t2_Spi_C_14	1578.389404	2939.866455	48889	146661	
t2_Spi_C_15	1185.441284	1924.677368	35947	107835	
t2_Spi_C_2	1203.050659	2007.880371	37561	112677	
t2_Spi_C_3	2030.799927	4125.702148	64309	192921	128614
t2_Spi_C_4	1821.144531	3469.971680	56374	169116	112744
t2_Spi_C_5	1863.180420	3422.552734	57848	173538	115692
t2_Spi_C_6	1067.838989	1534.452637	34877	104625	
t2_Spi_C_7	1598.926147	2977.380127	51450	154344	102896
t2_Spi_C_8	1330.731445	2289.672119	43394	130176	
t2_Spi_C_9	1287.873535	2334.040771	41361	124077	
t2_Spi_D_1	1032.621216	1535.671021	28172	84510	
t2_Spi_D_10	729.653137	872.833496	23627	70875	
t2_Spi_D_11	1289.738159	1885.499878	39411	118227	
t2_Spi_D_12	1434.082275	2032.406616	41924	125766	
t2_Spi_D_13	1455.816284	2058.578857	42555	127659	
t2_Spi_D_14	1834.154297	2987.302979	55103	165303	110202
t2_Spi_D_15	2472.084717	4054.677246	69461	208377	138918
t2_Spi_D_2	959.783813	1267.729370	30799	92391	
t2_Spi_D_3	1205.424316	1681.078735	36370	109104	
t2_Spi_D_4	597.855835	770.929810	17596	52782	
t2_Spi_D_5	968.958740	1296.425171	30446	91332	
t2_Spi_D_6	681.082336	839.221863	21892	65670	
t2_Spi_D_7	548.168152	673.102112	17922	53760	
t2_Spi_D_8	1224.161499	1676.774902	39007	117015	
t2_Spi_D_9	1254.949585	1750.430298	38255	114759	
t2_Spi_E_1	1009.077942	1493.608276	31340	94014	
t2_Spi_E_10	1106.471069	1665.322021	34544	103626	
t2_Spi_E_11	1744.283081	2675.783203	53535	160599	107066
t2_Spi_E_12	1418.676147	2257.084229	42351	127047	
t2_Spi_E_13	2109.132568	3293.242432	57336	172002	114668
t2_Spi_E_14	1288.405029	2032.682007	39188	117558	
t2_Spi_E_15	1228.431152	1732.675293	35279	105831	
t2_Spi_E_2	778.953735	1074.057617	23470	70404	
t2_Spi_E_3	929.789001	1386.577393	29263	87783	
t2_Spi_E_4	1157.474976	1778.253906	35667	106995	
t2_Spi_E_5	816.431519	1069.996338	25244	75726	
t2_Spi_E_6	923.583740	1353.805054	29640	88914	
t2_Spi_E_7	1357.948242	2135.409180	42737	128205	
t2_Spi_E_8	1231.643433	1804.115112	38111	114327	
t2_Spi_E_9	1233.764282	1971.827637	38549	115641	
t2_Spi_F_1	1259.094971	1685.207886	41126	123372	
t2_Spi_F_10	1681.459229	2235.662842	51128	153378	102252
t2_Spi_F_11	1253.195679	1571.480225	38803	116403	
t2_Spi_F_12	820.194275	1085.788086	25669	77001	
t2_Spi_F_13	1335.864502	1747.234985	41008	123018	
t2_Spi_F_14	1031.737427	1347.183472	31194	93576	
t2_Spi_F_15	1005.616943	1211.356445	31346	94032	
t2_Spi_F_2	682.489563	847.296997	21170	63504	
