Filename	Surface	Volume	Vertices	Edges	Faces
t3_Spi_D_13	1414.644409	2021.804565	40400	121194	
t3_Spi_D_14	1851.981689	2898.363037	56808	170418	113612
t3_Spi_D_15	2605.859375	3828.356201	80562	241704	161136
t3_Spi_D_2	955.656067	1259.431641	30053	90153	
t3_Spi_D_3	1219.919067	1640.282715	37643	112923	
t3_Spi_D_4	606.300842	795.459351	18643	55923	
t3_Spi_D_5	979.069519	1277.523193	30431	91287	
t3_Spi_D_6	707.685303	888.153076	22627	67875	
t3_Spi_D_7	551.641357	697.955078	17535	52605	
t3_Spi_D_8	1245.630371	1726.645264	36739	110211	
t3_Spi_D_9	1344.829346	1914.206299	38165	114489	
t3_Spi_E_1	1238.303833	1781.481079	39140	117420	
t3_Spi_E_10	1178.912964	1759.899658	35686	107052	
t3_Spi_E_11	2028.232056	3072.212646	60353	181053	120702
t3_Spi_E_12	1662.441284	2521.469482	51565	154689	103126
t3_Spi_E_13	2512.993652	3903.406250	70099	210291	140194
t3_Spi_E_14	1365.544556	2080.888184	42123	126363	
t3_Spi_E_15	1415.423828	2081.668457	39877	119625	
t3_Spi_E_2	988.464233	1281.686890	30988	92958	
t3_Spi_E_3	1106.295532	1636.748169	34555	103659	
t3_Spi_E_4	1518.932007	2318.250244	44665	133989	
t3_Spi_E_5	891.655151	1233.706787	25993	77973	
t3_Spi_E_6	1138.438843	1689.585938	35072	105210	
t3_Spi_E_7	1557.378662	2354.245605	48678	146028	
t3_Spi_E_8	1461.156616	2152.426025	44752	134250	
t3_Spi_E_9	1453.375366	2309.551514	44061	132177	
t3_Spi_F_1	1418.033325	1973.731689	43127	129375	
t3_Spi_F_10	1726.846436	2306.542969	49891	149667	
t3_Spi_F_11	1459.245605	1947.794189	42930	128784	
t3_Spi_F_12	968.806824	1326.448853	28865	86589	
t3_Spi_F_13	1590.807251	2035.009033	48366	145092	
t3_Spi_F_14	1189.176392	1490.897217	34598	103788	
t3_Spi_F_15	1064.274414	1320.193359	32263	96783	
t3_Spi_F_2	807.131897	996.642273	25293	75873	
t3_Spi_F_3	966.574646	1120.557251	29330	87984	
t3_Spi_F_4	1548.638306	2068.749512	49163	147483	
t3_Spi_F_5	1098.989624	1474.888916	32515	97539	
t3_Spi_F_6	1769.363525	2024.215576	55916	167742	111828
t3_Spi_F_7	1649.718384	2115.604980	49724	149166	
t3_Spi_F_8	1933.352417	2376.212402	55548	166638	111092
t3_Spi_F_9	1541.996826	1948.100952	46887	140655	
